first_page_exposure,polarity,subjectivity,polarity_sign,polarity_magnitude,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob,is_helpful,actual_helpfulness
131,0.9785,0.547525677,1,0.9785,9.38,5.8,1,0,0,1,1,1,0,0,1,0,1,0.43266063941337235,0,0
23,0.9817,0.634375,1,0.9817,6.71,8.67,1,1,0,1,1,0,0,1,1,1,1,0.4226329748551217,1,1
981,0.9153,0.483030303,1,0.9153,7.82,7.45,1,1,0,1,1,1,0,0,0,0,1,0.7452919567691431,0,0
160,0.9893,0.502597403,1,0.9893,8.92,17.73,1,0,1,1,1,1,1,1,1,1,1,0.6087987151672483,1,1
54,0.9873,0.606933333,1,0.9873,6.86,13.65,1,0,1,1,1,1,0,0,1,1,1,0.4925807773586745,1,1
69,-0.4767,0.566666667,0,0.4767,5.2,2.41,1,0,0,0,1,1,0,0,0,0,1,0.4715468223510913,1,2
23,0.9881,0.600730994,1,0.9881,7.87,12.74,1,0,1,1,1,1,1,1,1,0,1,0.48088393063327695,1,1
6,0.9678,0.386969697,1,0.9678,9.76,8.98,1,0,1,1,1,1,0,1,1,1,1,0.4610397003351309,1,1
19,0.8271,0.533333333,1,0.8271,8.33,1.23,0,0,0,0,1,0,0,0,0,0,0,0.24009098038263788,1,1
14,0.9908,0.511919192,1,0.9908,7.5,13.78,1,1,1,1,1,1,0,1,0,1,1,0.5000507478523832,1,2
80,0.836,0.583333333,1,0.836,7.5,2.54,1,0,0,0,1,1,0,0,1,0,1,0.390538135450651,0,0
463,0.9792,0.489960928,1,0.9792,7.83,14.53,1,1,1,1,1,0,0,0,1,1,1,0.6332598359462528,1,3
27,0.9171,0.546428571,1,0.9171,5.85,5.76,1,0,0,1,1,0,0,0,1,0,1,0.3631883401216391,0,0
11,0.9537,0.610416667,1,0.9537,6.99,2.41,1,0,0,1,1,1,0,0,1,1,1,0.3684953075250844,1,2
23,0.9808,0.788888889,1,0.9808,7.16,3.64,1,0,0,1,1,0,0,0,1,1,1,0.34278558256891184,1,1
10,-0.34,0.411764706,0,0.34,6.23,7.84,1,1,0,0,1,0,1,0,1,1,1,0.5216682163538421,1,1
13,0.8689,0.531571429,1,0.8689,7.12,4.0,1,0,0,0,1,0,0,0,0,1,1,0.36296397230074334,0,0
4,0.9484,0.785833333,1,0.9484,9.6,3.82,1,0,1,1,1,0,0,0,1,0,1,0.3204620121369411,0,0
544,0.9766,0.791666667,1,0.9766,2.84,4.3,1,0,0,1,1,0,0,0,1,0,1,0.514583049949065,0,0
11,0.936,0.597222222,1,0.936,6.62,4.32,0,0,0,1,1,1,0,0,1,0,1,0.33337089399073383,0,0
7,0.9709,0.460714286,1,0.9709,6.0,2.42,1,0,1,0,1,1,0,0,1,1,1,0.3784266413103055,0,0
6,0.9385,0.526847422,1,0.9385,12.62,8.8,1,0,0,1,1,1,0,0,0,1,1,0.4344642349065946,0,0
1424,0.6597,0.496117424,1,0.6597,10.54,7.43,1,0,0,0,1,1,0,1,0,1,1,0.8732174520688497,1,4
8,0.998,0.64489899,1,0.998,8.36,17.8,1,0,1,1,1,1,0,1,1,1,1,0.5336712634584783,0,0
12,0.9468,0.683333333,1,0.9468,5.02,2.01,1,0,1,0,1,0,0,0,1,0,1,0.31605390461272465,1,1
52,0.8806,0.519047619,1,0.8806,7.27,4.8,1,0,1,0,1,1,0,0,1,1,1,0.41900021578882535,1,1
157,0.4019,0.494444444,1,0.4019,10.07,2.26,1,0,0,0,1,0,0,0,1,1,1,0.4266300477598287,0,0
15,0.9953,0.659632035,1,0.9953,9.9,11.46,1,1,1,1,1,1,0,1,1,1,1,0.47654900134055983,0,0
9,0.8316,0.805555556,1,0.8316,12.86,3.66,1,0,1,0,1,0,0,1,0,1,1,0.358238941736118,0,0
4,0.8519,0.65,1,0.8519,4.7,1.56,1,0,0,0,1,1,0,0,0,0,1,0.3399325182189525,0,0
28,0.9518,0.802,1,0.9518,8.17,2.23,1,0,0,0,1,0,0,0,1,0,1,0.3231796633764997,0,0
31,0.9646,0.487301587,1,0.9646,14.13,9.72,1,0,1,0,1,1,1,0,1,0,1,0.4594802923234258,1,2
222,0.9559,0.773333333,1,0.9559,5.2,1.0,0,0,0,0,1,0,0,0,1,0,1,0.33844631803117053,1,1
26,0.9904,0.601720085,1,0.9904,6.91,10.64,1,0,0,1,1,1,0,1,1,0,1,0.4536086606524393,1,1
32,0.9423,0.546428571,1,0.9423,8.06,4.27,1,0,1,0,1,0,0,0,1,1,1,0.37242923511811216,0,0
32,0.9513,0.497486772,1,0.9513,8.55,9.77,1,0,1,1,1,1,1,0,1,1,1,0.4649130771221735,0,0
10,0.7871,0.614285714,1,0.7871,9.28,4.92,1,0,0,0,1,1,0,0,1,0,1,0.3909096687376003,0,0
13,0.9937,0.548494898,1,0.9937,9.49,15.98,1,0,1,1,1,0,1,1,1,0,1,0.48365066872301266,0,0
11,0.9865,0.701257143,1,0.9865,8.51,13.07,1,0,1,1,1,1,0,0,1,0,1,0.44710923541266034,1,1
10,0.9725,0.547008547,1,0.9725,7.27,6.89,1,0,0,1,1,1,0,1,1,1,1,0.4324301970115084,1,1
39,0.9663,0.67052005,1,0.9663,8.29,13.28,1,0,1,1,1,1,1,1,1,1,1,0.5078642734781542,1,3
114,0.9855,0.438789683,1,0.9855,8.2,13.57,1,0,0,0,1,1,1,0,1,1,1,0.5507112603290233,1,2
93,0.9844,0.723809524,1,0.9844,6.58,7.58,1,0,0,1,1,0,0,1,1,1,1,0.42510044417216825,0,0
21,0.9432,0.687142857,1,0.9432,10.62,2.97,1,0,0,1,1,1,0,1,0,0,1,0.3663914004705504,0,0
4,0.946,0.517619048,1,0.946,6.9,5.29,0,0,1,0,1,1,0,1,0,0,1,0.35551368757300994,0,0
14,0.9583,0.673333333,1,0.9583,13.83,2.25,0,0,1,0,1,0,0,0,1,0,1,0.2920474784293592,1,1
49,0.9849,0.498348318,1,0.9849,9.01,18.6,1,0,1,1,1,1,1,1,1,1,1,0.578278837454165,1,1
206,0.975,0.629100529,1,0.975,8.07,4.2,1,1,1,1,1,1,0,0,0,1,1,0.44837525536656897,1,2
64,0.9826,0.7,1,0.9826,7.12,5.73,1,0,0,1,1,0,0,0,1,0,1,0.3648482802136487,0,0
21,0.9575,0.511552471,1,0.9575,6.99,15.12,1,1,0,1,1,1,1,1,0,1,1,0.5328509464900157,0,0
24,0.9702,0.695238095,1,0.9702,7.45,5.2,1,0,0,1,1,1,0,1,0,0,1,0.38479405705014375,0,0
23,0.9874,0.454960317,1,0.9874,7.95,8.52,1,0,0,1,1,1,0,0,1,1,1,0.44415899722851515,1,2
9,0.9944,0.579247312,1,0.9944,8.26,18.48,1,0,0,1,1,1,1,1,1,1,1,0.5608787575551574,1,1
6,0.9813,0.58390377,1,0.9813,9.18,5.07,1,0,0,0,1,0,0,0,0,1,1,0.36560242680320176,0,0
23,0.9442,0.563307131,1,0.9442,8.74,10.06,1,0,0,1,1,1,1,0,0,1,1,0.45749059437301165,0,0
15,0.9529,0.42526738,1,0.9529,6.15,9.49,1,0,0,1,1,1,1,1,0,1,1,0.4712842663255955,1,2
259,-0.7806,0.427654607,0,0.7806,10.03,19.58,1,0,0,1,1,1,0,1,0,1,1,0.7529979473837545,0,0
36,0.9198,0.549022837,1,0.9198,6.59,14.29,1,0,1,0,1,1,1,1,0,1,1,0.5259143708651345,1,1
62,0.8834,0.593333333,1,0.8834,12.23,5.01,0,0,0,1,1,0,0,0,0,0,1,0.3277328331472872,0,0
87,0.2617,0.547474747,1,0.2617,5.13,9.68,1,0,0,0,1,1,1,1,0,0,1,0.5063962867819047,0,0
9,0.9601,0.772222222,1,0.9601,6.07,3.25,1,0,0,1,0,0,1,0,1,0,1,0.3057819050232066,1,1
5,0.9794,0.568518519,1,0.9794,5.64,6.65,1,0,0,0,1,1,0,1,0,1,1,0.4251546259109552,0,0
11,0.7264,0.409722222,1,0.7264,7.22,2.56,0,0,0,0,1,0,0,0,1,0,1,0.3150094135307261,0,0
48,0.9595,0.729166667,1,0.9595,5.1,2.78,0,0,0,0,1,0,0,0,1,0,1,0.3007853923210128,0,0
21,0.9808,0.520512821,1,0.9808,7.63,9.11,1,0,0,0,1,1,1,1,1,0,1,0.4612631415200115,0,0
368,0.3981,0.41250221,1,0.3981,5.1,28.22,1,0,0,0,1,0,1,0,0,1,1,0.7530946224889723,0,0
78,0.9943,0.578037767,1,0.9943,12.16,13.19,1,0,1,1,1,0,1,0,1,1,1,0.48189764030876764,0,0
651,0.9805,0.544888889,1,0.9805,8.99,15.23,1,1,0,1,1,0,1,1,1,1,1,0.7255149713256177,1,2
32,0.9442,0.715,1,0.9442,12.36,8.08,1,0,0,1,1,1,0,1,1,1,1,0.44762196120308295,1,2
53,0.9638,0.596365079,1,0.9638,9.89,7.39,1,0,0,1,1,1,1,1,1,1,1,0.4633831844275686,0,0
38,0.6808,0.566666667,1,0.6808,6.9,3.63,1,0,0,1,1,1,0,1,0,0,0,0.33357102960587554,0,0
25,0.9419,0.457875458,1,0.9419,11.23,7.2,1,0,0,0,1,1,0,0,0,0,1,0.4179084058273287,0,0
82,0.9938,0.744761905,1,0.9938,8.86,5.69,0,0,0,1,1,1,0,1,1,0,1,0.37647026036222697,0,0
19,0.9865,0.55625,1,0.9865,6.49,8.61,1,1,1,1,1,1,0,0,1,1,1,0.43614902696790675,1,1
7,0.8434,0.448412698,1,0.8434,7.54,4.33,1,1,0,0,1,1,0,0,0,1,1,0.4068895042546387,0,0
49,0.9729,0.5975,1,0.9729,8.13,5.02,1,0,1,1,1,1,0,0,1,1,1,0.4042254260755869,0,0
59,0.939,0.51962963,1,0.939,6.1,4.5,1,0,1,0,1,0,0,1,0,0,1,0.37402884366319655,0,0
82,0.9246,0.418476365,1,0.9246,6.88,5.64,1,0,1,0,1,0,1,0,1,1,1,0.42175129996560573,0,0
6,0.9337,0.561818182,1,0.9337,10.1,4.45,1,1,0,1,1,0,0,0,1,0,1,0.35118822539610534,1,1
7,0.9711,0.526923077,1,0.9711,10.06,9.24,1,0,1,1,1,1,0,0,1,1,1,0.43865183566189975,0,0
8,0.9954,0.585057471,1,0.9954,7.82,13.65,1,1,1,1,1,1,1,0,1,1,1,0.49388098327025215,1,1
8,0.9432,0.492857143,1,0.9432,5.23,3.42,1,0,0,0,1,0,0,0,1,1,1,0.3612343610770228,0,0
28,0.9767,0.534982488,1,0.9767,8.31,11.06,1,0,1,0,1,1,0,0,0,1,1,0.46301880664990697,0,0
40,0.996,0.495690994,1,0.996,7.43,24.8,1,0,1,1,1,1,0,1,1,1,1,0.6253302416628213,1,1
15,0.9892,0.446759259,1,0.9892,10.23,8.99,1,0,0,0,1,1,0,0,1,1,1,0.4572427841473564,1,1
97,0.9623,0.678392857,1,0.9623,11.33,5.42,0,0,1,1,1,0,0,1,0,0,1,0.344634764681104,1,1
277,0.9729,0.665277778,1,0.9729,7.8,6.52,1,0,0,0,1,1,1,1,0,1,1,0.530645426292014,1,10
13,0.9766,0.623796296,1,0.9766,7.45,9.4,1,0,0,0,1,1,1,0,1,0,1,0.43814568162823075,0,0
76,0.987,0.544515306,1,0.987,6.4,16.67,1,0,0,0,1,1,1,1,1,1,1,0.5758206350141777,0,0
174,0.2263,0.533333333,1,0.2263,10.15,2.95,1,0,0,1,1,1,1,0,0,1,1,0.4699499017855836,1,1
56,0.9931,0.555468254,1,0.9931,8.35,32.95,1,0,1,1,1,1,1,1,1,1,1,0.7122602864449105,0,0
67,0.8271,0.736666667,1,0.8271,5.91,2.54,0,0,1,0,1,0,0,0,0,0,1,0.2980360442191844,0,0
12,0.91,0.5,1,0.91,6.93,2.5,1,0,0,0,1,0,0,0,1,0,0,0.28438760702827276,0,0
6,0.802,0.76,1,0.802,8.16,2.64,0,0,0,0,1,0,0,1,0,0,1,0.29919079879784266,1,1
208,0.9928,0.558640486,1,0.9928,7.23,11.33,1,0,1,1,1,1,0,0,1,1,1,0.5290308541257748,1,1
4,0.9169,0.585714286,1,0.9169,8.6,2.53,0,0,1,0,1,1,0,0,1,1,1,0.3374429116666642,1,1
343,-0.7013,0.615,0,0.7013,7.12,3.39,1,0,0,0,1,1,0,0,0,1,1,0.6110923793838143,1,1
19,0.9022,0.592124542,1,0.9022,7.08,7.96,1,0,0,0,1,1,1,1,1,1,1,0.46492284013926205,0,0
35,0.9796,0.649603175,1,0.9796,7.4,6.68,1,0,0,0,1,1,0,0,1,1,1,0.4246838232582061,0,0
13,0.9854,0.588555556,1,0.9854,7.1,6.11,1,0,0,1,1,1,0,0,1,0,1,0.388158059574527,0,0
48,0.9803,0.570222635,1,0.9803,6.81,7.39,1,1,1,0,1,1,1,0,1,1,1,0.45251493438791124,0,0
5,0.9771,0.492437533,1,0.9771,7.74,14.59,1,0,0,1,1,1,1,0,1,1,1,0.5087368080888929,1,1
54,0.9783,0.508041958,1,0.9783,7.1,8.05,1,0,0,1,1,1,0,0,1,1,1,0.4466104296170237,1,3
76,0.9938,0.49784127,1,0.9938,9.51,20.33,1,0,1,1,1,1,0,1,1,1,1,0.5955996940834801,0,0
20,0.9916,0.542400332,1,0.9916,7.48,21.48,1,1,1,1,1,1,1,1,1,1,1,0.5979317265411949,1,1
37,0.9274,0.618,1,0.9274,10.06,5.8,1,0,0,1,1,0,1,1,0,0,1,0.3836019612961322,1,1
22,0.9442,0.552777778,1,0.9442,15.69,4.04,1,0,0,0,1,0,0,0,1,0,1,0.3605837298362928,0,0
11,0.9865,0.537734488,1,0.9865,10.14,11.94,1,0,0,1,1,0,0,1,1,1,1,0.45592711297845917,0,0
33,0.9944,0.639233954,1,0.9944,8.24,12.66,1,1,1,1,1,1,1,0,1,1,1,0.48960815891756987,1,2
38,0.9884,0.537539328,1,0.9884,9.64,37.91,1,1,1,1,1,1,1,1,1,1,1,0.7541570586160117,1,1
242,0.9802,0.66,1,0.9802,9.16,4.13,1,1,1,0,1,0,0,0,1,1,1,0.4441418505561622,1,6
45,0.9928,0.64730712,1,0.9928,9.97,16.39,1,0,1,1,1,1,1,1,1,1,1,0.5447567332495569,1,1
13,0.9691,0.567604167,1,0.9691,8.19,17.67,1,1,1,1,1,1,0,0,0,1,1,0.5216872443147971,0,0
384,0.9886,0.504451346,1,0.9886,8.85,13.29,1,0,1,1,1,1,0,1,1,0,1,0.6158003326289011,0,0
7,0.8735,0.558490896,1,0.8735,6.57,15.7,1,0,0,1,1,1,0,0,1,1,1,0.5088538079158899,1,1
264,0.982,0.583013136,1,0.982,6.63,15.85,1,0,1,1,1,1,0,1,1,1,1,0.6097898988337304,1,4
50,0.9246,0.6025,1,0.9246,12.98,1.9,1,0,0,0,1,1,1,0,1,1,1,0.40242978681607927,1,4
15,0.9363,0.532222222,1,0.9363,6.72,6.79,1,0,0,0,1,1,0,0,1,0,1,0.40889289990832883,0,0
26,0.7748,0.516687552,1,0.7748,6.57,43.67,1,1,0,1,1,1,1,1,1,1,1,0.8005001330844679,0,0
96,0.936,0.537037037,1,0.936,7.7,3.82,1,0,1,1,1,0,0,0,1,0,1,0.36520365892364043,1,2
12,0.7357,0.375,1,0.7357,6.56,3.16,1,0,0,1,1,1,0,0,0,0,1,0.3731816977593659,1,1
442,0.8689,0.474122807,1,0.8689,7.25,7.99,1,0,0,0,1,0,0,0,0,1,1,0.5642757848845769,0,0
4,0.9607,0.8125,1,0.9607,6.28,2.23,1,1,0,0,1,0,0,0,1,0,1,0.3178565766797661,1,4
96,0.9162,0.52936067,1,0.9162,8.19,14.35,1,0,0,1,1,1,0,1,0,1,1,0.5379928835516812,1,1
7,0.9918,0.52669815,1,0.9918,11.61,27.88,1,0,0,1,1,1,1,0,1,1,1,0.6450951383665098,1,1
7,0.9779,0.733333333,1,0.9779,5.95,3.97,1,0,0,0,1,1,0,1,1,0,1,0.3782146452338125,0,0
56,0.9964,0.511055556,1,0.9964,8.01,18.32,1,0,0,1,1,1,1,1,1,1,1,0.5805948664316911,0,0
32,0.9816,0.566145833,1,0.9816,10.18,13.93,1,1,1,1,1,1,1,0,1,1,1,0.5099393947806162,1,3
70,0.9925,0.639153439,1,0.9925,8.16,10.39,1,0,1,0,1,1,0,1,1,1,1,0.4882205229041952,0,0
25,0.5574,0.7625,1,0.5574,5.53,2.06,0,1,0,0,0,0,0,0,1,0,1,0.282418062243672,0,0
66,0.9588,0.573611111,1,0.9588,8.5,4.66,0,0,0,0,1,0,0,0,1,1,1,0.3529059531363521,0,0
24,0.946,0.9275,1,0.946,4.74,3.36,1,0,0,1,1,0,0,0,0,0,1,0.30754057280638053,0,0
4,0.9888,0.598432602,1,0.9888,9.32,10.49,1,0,1,0,1,1,0,0,1,1,1,0.45260385823214594,0,0
12,0.9932,0.480236446,1,0.9932,8.75,21.89,1,0,1,0,1,1,1,1,1,1,1,0.6069904818786089,1,1
11,0.9783,0.504757085,1,0.9783,5.38,8.93,1,0,1,1,1,1,0,1,1,1,1,0.44959495460196575,1,1
33,0.9873,0.50501443,1,0.9873,10.36,13.12,1,1,0,1,1,1,0,1,1,1,1,0.5168845939851359,0,0
44,0.9961,0.5925667,1,0.9961,8.01,22.31,1,1,1,1,1,1,1,1,1,1,1,0.6118379299067013,1,6
14,0.9618,0.503571429,1,0.9618,8.0,4.13,1,0,0,1,1,1,0,0,0,1,1,0.38629538659683066,0,0
536,0.9755,0.55218254,1,0.9755,7.64,7.33,1,0,0,1,1,1,0,1,0,1,1,0.6214950646888557,0,0
174,0.9929,0.566666667,1,0.9929,7.86,12.1,1,0,1,0,1,0,0,0,1,0,1,0.48177403423232507,1,1
13,0.9808,0.659004329,1,0.9808,5.57,4.23,1,0,0,0,1,1,0,0,0,1,1,0.38190762730508887,0,0
30,0.6908,0.555777778,1,0.6908,8.0,1.25,0,0,0,1,1,0,0,0,0,1,1,0.30462166486774206,0,0
282,0.4019,0.383333333,1,0.4019,7.5,8.26,1,0,0,0,1,0,1,0,1,1,1,0.550515255580024,1,7
4,0.9844,0.55615346,1,0.9844,4.31,7.14,1,0,0,1,1,0,0,1,1,1,1,0.39743107056790505,1,1
33,0.96,0.576372549,1,0.96,6.77,11.96,1,0,1,1,1,1,0,1,0,1,1,0.4783588842354008,0,0
17,0.7096,0.705555556,1,0.7096,8.54,6.02,1,1,0,0,1,1,0,1,1,1,1,0.4405128294429241,0,0
373,0.9001,0.866666667,1,0.9001,6.52,1.62,1,0,1,0,1,1,0,0,0,0,1,0.45233590381955535,0,0
28,-0.0516,0.484722222,0,0.0516,7.5,4.35,0,0,0,0,1,1,0,0,1,1,1,0.44858204766915044,0,0
21,0.9413,0.463888889,1,0.9413,4.15,2.45,1,0,1,0,1,0,0,0,0,0,1,0.3283471343652786,1,1
17,0.9313,0.551666667,1,0.9313,7.12,3.5,1,0,0,1,1,0,1,0,1,1,1,0.3654329655953544,1,3
19,-0.3208,0.511851852,0,0.3208,6.61,21.7,1,1,0,0,1,1,1,1,1,1,1,0.6994074055888182,1,1
421,0.8591,0.526861472,1,0.8591,5.26,1.87,1,0,0,0,1,1,0,0,0,0,1,0.5010916090838357,0,0
16,0.1508,0.721666667,1,0.1508,10.05,5.46,0,0,0,1,1,1,1,1,0,0,1,0.385980635602732,0,0
34,0.7717,1.0,1,0.7717,15.31,0.98,0,0,0,0,0,0,0,0,1,0,1,0.2602193201120569,0,0
45,0.9565,0.746666667,1,0.9565,11.42,5.82,1,0,0,0,1,0,0,1,1,0,1,0.38440887366964505,0,0
19,0.875,0.609166667,1,0.875,9.51,4.13,1,0,0,1,1,0,0,0,0,1,1,0.35562708261549,1,1
123,0.9643,0.727142857,1,0.9643,6.97,3.86,1,0,0,0,1,1,0,0,1,1,1,0.4228455421436923,0,0
4,0.5267,0.588095238,1,0.5267,6.0,3.63,1,0,0,0,1,0,0,0,0,0,1,0.3463573043768041,0,0
14,0.9648,0.453968254,1,0.9648,8.38,13.63,1,1,0,1,1,1,1,1,0,1,1,0.5197759383733587,1,1
253,0.9571,0.519030303,1,0.9571,6.3,15.76,1,1,1,1,1,1,0,1,0,1,1,0.6074827189876625,1,1
196,0.807,0.432844933,1,0.807,6.92,17.6,1,0,0,0,1,1,1,0,1,1,1,0.6265410937433954,1,1
15,0.9844,0.606,1,0.9844,6.79,6.6,1,0,1,0,1,1,1,0,1,1,1,0.4240376335667836,1,1
65,0.9808,0.497387218,1,0.9808,4.21,15.17,1,1,0,1,1,1,1,1,1,1,1,0.5549616288499056,0,0
72,0.7906,0.577083333,1,0.7906,23.2,3.76,1,0,0,0,1,1,0,0,0,0,1,0.40947629986728107,0,0
