,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
2096050,22.049328703898937,4.0,0.6808,0.4541666666666666,5.52,4.16,1,0,0,2,2,2,0,2,1,3,0,0.3995612498638356
942673,475.73165509290993,2.0,0.25,0.5000000000000001,12.0,4.27,1,0,0,0,3,1,0,0,0,0,0,0.4529208235961478
1097130,2.9075231477618217,5.0,0.9732,0.8666666666666667,6.29,2.97,0,0,0,2,3,2,1,0,1,0,0,0.2616137877717032
3928069,8.010625000111759,4.0,0.9413,0.77,4.63,1.35,0,0,0,4,2,0,0,0,0,0,0,0.2777495945317867
789761,101.437094907742,5.0,0.9509,0.6583333333333333,4.2,3.58,1,0,0,1,3,1,0,0,1,0,1,0.33011350447581955
2015217,474.1765740737319,2.0,0.989,0.5198998532331865,6.76,22.56,7,0,0,13,18,2,2,1,5,1,3,0.8222936999606819
3646749,62.013379629701376,4.0,0.9691,0.7933333333333333,6.54,3.91,2,0,0,5,2,0,0,0,0,0,0,0.3275170369481159
1043493,161.39407407399267,1.0,0.0,0.4833333333333332,10.36,3.0,2,0,0,0,0,1,0,0,0,1,0,0.4186288826017358
1527072,353.5442245369777,5.0,0.9393,0.4128205128205128,5.41,3.58,0,0,0,1,4,1,0,0,1,0,0,0.3900267106135119
2704203,1217.979062499944,1.0,0.8625,0.1822222222222222,10.57,7.57,3,0,0,1,0,0,1,0,1,4,2,0.57630433486607
1179629,120.83612268511206,5.0,0.802,0.6828571428571429,8.28,4.35,2,0,1,1,2,1,0,0,0,0,1,0.35872832216935274
3438750,203.19667824031785,1.0,0.0258,0.6,2.8,0.88,0,0,0,0,0,1,0,0,1,1,0,0.3556480935768518
622642,114.70519675919786,5.0,0.9829,0.6724007936507935,6.08,9.02,1,0,0,2,7,2,1,0,1,4,2,0.43483212487596523
2116682,147.05314814811572,5.0,0.8625,0.4666666666666666,6.56,1.44,0,0,0,1,1,0,0,0,0,0,0,0.312965222434796
1800367,140.39398148143664,4.0,0.9403,0.535042735042735,4.95,4.88,1,1,0,3,1,0,2,1,3,1,0,0.3232256639960032
930212,392.8837962965481,5.0,0.7643,0.7222222222222222,6.95,2.38,0,1,0,3,3,0,0,0,2,1,0,0.2571110952284965
1531040,11.82986111100763,5.0,0.8718,0.8260000000000002,8.78,3.88,0,0,0,3,2,0,0,0,0,0,0,0.3009291594937124
4235303,7.57366898143664,5.0,0.988,0.5852941176470587,7.19,7.84,2,3,1,4,7,1,0,0,1,1,0,0.4556966180874642
3155717,-3086.97952546319,1.0,0.4767,0.3,9.29,9.0,5,1,0,1,0,2,4,0,2,0,4,0.3956816188170138
4461865,689.0004050927237,5.0,0.9413,0.3923611111111111,4.25,3.01,1,0,0,2,2,1,0,0,0,1,1,0.39522241311347583
127825,15.595381944440303,5.0,0.8885,0.75,4.41,2.07,0,0,0,1,2,0,1,1,1,0,1,0.25436582610204744
711353,1090.6735416664742,3.0,0.1645,0.775,6.74,1.57,1,0,0,0,1,0,0,0,0,0,0,0.3265325994379024
904255,123.01784722227605,3.0,0.8057,0.5064484126984128,8.46,19.23,6,3,1,1,2,3,9,1,13,1,2,0.44737711378236117
4680060,57.96671296283603,4.0,0.9647,0.6772222222222223,7.79,9.23,0,0,0,8,0,0,0,1,0,0,0,0.529631364116386
1144929,-1288.6705092592165,1.0,-0.2263,0.6296296296296297,9.63,1.94,2,0,0,2,0,0,0,0,0,1,0,0.30041257053947445
4212930,68.09372685151175,4.0,0.9128,0.5,6.82,1.88,2,1,0,0,4,1,0,0,1,0,0,0.3166761494279837
1681308,56.89780092565343,4.0,0.5719,0.5,9.07,1.9,0,0,0,2,2,0,0,0,1,0,0,0.31027179114939035
1381595,118.88011574093252,5.0,0.9786,0.6968518518518518,6.94,5.33,3,0,1,5,5,1,0,0,1,0,1,0.36578000222832674
2086949,312.1445370372385,3.0,0.9509,0.505952380952381,6.64,5.35,0,0,0,3,5,2,0,0,0,3,0,0.4653762923567758
3010105,747.9901388888247,4.0,0.9254,0.5900000000000001,7.5,2.63,0,0,0,1,2,1,0,1,1,1,0,0.3511031610631897
1994222,103.26314814807849,5.0,0.9457,0.7280952380952381,5.66,4.94,2,0,0,4,3,0,1,0,2,1,1,0.2897186439051688
2390331,162.1522337961942,5.0,0.9422,0.5120467836257309,13.6,9.49,2,0,0,2,10,0,0,0,0,0,0,0.512500712324358
2520822,30.00849537039176,5.0,0.0056,0.4125,10.0,1.34,0,0,0,1,2,1,0,0,0,0,0,0.31277861555479003
2132967,204.8139351848513,2.0,0.6742,0.4600000000000001,10.12,1.45,0,0,0,1,1,0,0,0,0,0,0,0.3660577063017445
3324504,52.95206018537283,4.0,0.9136,0.4655555555555555,4.28,1.85,1,1,0,0,3,1,0,0,0,0,0,0.35481536938612174
221220,121.0049074073322,5.0,0.9217,0.5625,5.67,2.69,2,1,0,1,3,2,0,0,0,0,0,0.33947842030207975
2106040,42.54179398110136,3.0,0.9574,0.6306277056277055,7.5,2.75,1,0,0,3,5,0,0,0,0,0,0,0.3484789881788729
288868,30.62569444440305,5.0,0.9618,0.7056646825396825,6.08,3.98,2,0,0,0,6,0,0,0,1,0,0,0.31105552820464444
3089353,18.00881944457069,5.0,0.9337,0.4143518518518518,4.99,9.3,6,2,0,1,4,0,1,0,1,1,2,0.4762947333085951
4641560,-3314.0520254629664,5.0,0.9561,0.7483333333333334,8.67,4.23,0,0,0,1,5,0,0,1,1,0,0,0.21696142880761654
1018169,39.21802083356306,5.0,0.8568,0.5751948051948051,5.17,2.32,1,1,0,1,4,1,0,0,1,0,0,0.3048430610814126
1143326,82.17672453727573,1.0,-0.0772,0.4428571428571429,13.88,3.78,0,0,0,4,0,1,0,0,2,0,0,0.4145950613174682
2965480,114.68248842610046,5.0,0.9601,0.5198412698412698,5.6,3.8,4,0,1,0,4,0,0,0,2,2,0,0.31370142909317045
1428507,-3315.833078703843,3.0,0.9371,0.5023809523809524,10.85,6.65,3,1,0,5,6,1,0,0,0,1,0,0.344712309001375
2346851,526.721990740858,5.0,0.9798,0.6264285714285714,6.23,3.92,4,0,2,1,4,2,0,0,0,0,0,0.3954437853098631
1209753,303.2936805556528,5.0,0.9393,0.6633333333333333,6.95,2.28,0,1,0,2,1,0,0,0,1,0,1,0.2838824831914047
2383558,218.30398148112,3.0,0.8834,0.5833333333333334,5.67,2.06,0,0,0,2,2,1,0,0,0,0,0,0.36586480301280094
4307953,32.12793981470168,5.0,0.8957,0.5871428571428571,6.67,2.16,0,0,0,5,3,1,0,0,1,0,0,0.2974483143226832
4400036,124.36386574059723,5.0,0.9939,0.540625,6.41,11.08,1,0,0,8,7,1,1,1,2,0,2,0.5435383349179905
1305417,178.19309027772397,5.0,0.6996,0.51,10.43,2.48,0,0,0,3,3,0,0,0,0,0,0,0.31989268006229526
3669541,34.93340277764946,3.0,0.9819,0.7038461538461539,9.31,8.15,1,0,0,6,4,1,0,1,0,0,2,0.5072932795358389
372363,-3063.013854166493,1.0,0.765,0.4035714285714286,6.37,5.27,3,0,2,1,3,1,0,0,1,0,0,0.4178807765381363
2470003,116.87174768513069,5.0,0.9708,0.6231481481481481,8.42,8.96,3,1,0,5,3,3,0,0,0,1,0,0.5037083468067363
1452007,344.8927083336748,5.0,0.993,0.6511017628205127,8.77,15.89,8,2,0,12,8,0,3,0,1,3,1,0.5553315081936372
2766247,17.52701388904825,4.0,0.9882,0.6274305555555555,8.45,12.15,5,2,0,7,12,0,1,1,0,1,2,0.5633055030647569
2930286,692.0916435187683,5.0,0.4404,0.65,2.12,1.07,1,0,0,0,1,0,0,0,0,0,0,0.2993920271104953
1692638,-2616.923773148097,1.0,0.0258,0.4292592592592592,6.75,7.59,1,0,0,4,0,0,0,3,0,0,0,0.5148287683931526
3387028,189.7915856479667,5.0,0.9759,0.5404761904761904,5.34,4.77,2,1,0,5,5,1,0,0,2,0,0,0.3620548013054451
3965069,1602.8124768519774,2.0,0.8332,0.4724137931034483,8.87,22.06,8,0,1,3,15,2,1,0,3,6,3,0.8474002799626534
3887457,121.29694444406778,4.0,0.9656,0.5405555555555555,7.19,7.7,3,2,0,11,4,3,0,0,1,0,1,0.494553557669531
3635603,715.2825231477618,1.0,0.5023,0.6797619047619048,4.88,3.69,3,0,0,1,2,1,1,0,0,0,1,0.42351676535123434
452693,38.94693287042901,4.0,0.993,0.6413333333333333,8.81,12.57,1,1,0,6,10,0,1,0,0,1,1,0.5917555902020378
2481908,82.43666666653007,5.0,0.8173,0.5111111111111112,7.72,5.11,4,1,0,2,1,1,1,1,1,0,0,0.35885759413200075
1848874,65.3707060185261,5.0,0.9975,0.5811333333333335,6.0,29.22,10,1,3,17,17,5,0,1,2,5,3,0.9236165602370958
1437732,60.54615740757436,4.0,0.9802,0.4842857142857142,7.4,16.2,5,0,1,8,14,1,1,0,2,1,2,0.7012939232387978
4265309,55.18093749973923,5.0,0.9524,0.6112824675324675,8.19,3.54,0,0,0,1,6,0,0,0,1,0,0,0.31895551567441727
3028312,87.93837962951511,4.0,0.6369,0.3999999999999999,4.87,1.59,0,0,1,0,0,0,0,0,0,0,0,0.3705081815144715
3479277,3.6372222220525146,3.0,0.5321,0.5875,1.88,1.22,0,0,0,1,1,0,0,0,1,0,0,0.321492184896715
615150,674.6933101853356,4.0,0.9544,0.4653439153439153,6.22,5.63,3,1,0,7,2,0,0,0,0,0,0,0.4630382591415816
387354,66.17677083332092,5.0,0.959,0.8,5.15,2.5,1,0,0,3,4,0,0,0,0,0,1,0.2777187503864248
1770967,-3183.830671296455,1.0,0.7783,0.4464285714285714,7.5,2.6,1,0,1,0,1,0,0,0,0,1,0,0.31669903573433167
2860722,48.713912036735564,4.0,0.9608,0.5666666666666667,7.62,6.23,4,0,0,1,3,0,0,0,0,2,1,0.40775779085091673
1946,293.3291898146272,4.0,0.9716,0.5944444444444444,5.7,2.26,0,0,0,2,3,0,1,0,2,0,0,0.2875355537339466
3616114,105.13222222216427,5.0,0.9822,0.5892857142857143,8.15,8.95,0,0,0,9,2,2,1,0,3,2,1,0.4254595458929057
1484212,135.01092592580244,2.0,0.9284,0.609375,10.54,3.29,1,0,0,3,4,0,0,0,0,0,0,0.3814441096717292
1705218,133.83320601843295,5.0,0.9786,0.4940035273368606,5.96,4.76,5,0,1,4,2,1,0,0,0,0,0,0.40348560594102245
3368399,193.59837962966407,5.0,0.8442,0.65,5.32,2.45,0,0,0,3,2,1,0,0,2,1,0,0.280038326533397
4546963,75.69753472227603,5.0,0.9849,0.6608333333333334,8.04,5.91,2,0,1,3,6,0,0,0,0,0,0,0.401879660908059
3488670,89.9105439814739,5.0,0.8934,0.5648148148148148,2.8,1.48,1,0,0,2,3,0,0,0,0,1,0,0.29496434200100635
1243325,37.44184027751908,5.0,0.9753,0.26,3.68,2.56,0,2,0,1,5,1,0,1,0,0,0,0.409223071450701
864590,-2450.1210995372385,2.0,0.6369,0.5333333333333333,8.47,1.44,0,0,0,0,1,0,1,0,1,0,1,0.2372124711290084
4021712,83.08041666680947,5.0,0.7037,0.8,4.63,1.04,1,0,1,2,0,0,0,0,0,0,1,0.2552124848982812
1420415,-1753.7583680553362,5.0,0.9832,0.605909090909091,7.43,4.05,1,0,0,4,7,0,0,0,2,1,0,0.24975287200717608
4451823,33.17966435197741,4.0,0.9081,0.5357142857142857,6.93,2.38,0,1,0,2,3,1,0,0,1,1,0,0.3232767787694466
1622483,269.8340277778916,4.0,0.9371,0.7875,4.07,1.69,1,0,1,1,2,0,0,1,1,0,0,0.29292589270241437
773423,-2326.184502314776,5.0,0.9231,0.5599999999999999,6.43,1.4,1,0,0,2,3,2,0,0,0,0,0,0.23302331753298094
4670342,-2581.0051504629664,1.0,0.2896,0.55,6.21,5.51,3,1,0,3,0,0,2,0,0,0,1,0.3465586056490711
3540456,59.90028935158625,5.0,0.9815,0.7039444444444445,8.33,10.91,4,1,2,3,7,3,1,0,0,1,1,0.5497992017873496
4671530,195.0170254628174,5.0,0.9753,0.5153846153846154,8.56,11.63,2,0,0,1,6,2,2,0,0,1,5,0.5605390116254952
2533147,141.800023148302,5.0,0.9432,0.6791666666666667,5.33,4.17,1,0,1,1,0,0,0,0,0,1,1,0.3532602249254203
4595563,278.3808101848699,4.0,0.9878,0.4725510204081632,6.49,13.31,5,1,2,9,10,0,1,0,3,2,1,0.6075825174575704
3964092,25.94186342554167,5.0,0.993,0.672,8.36,9.53,1,0,0,1,7,0,1,1,1,0,0,0.46867886730544384
225693,333.533981481567,5.0,0.796,0.5816904761904762,8.5,12.05,2,1,0,18,8,3,1,0,0,0,0,0.6082561666809766
789564,319.79263888904825,1.0,0.0,0.2666666666666666,9.15,1.23,0,0,0,0,0,0,0,0,0,0,0,0.43075712785037323
3072219,-347.6050578705035,5.0,0.9814,0.7526785714285714,6.25,3.17,1,0,0,3,1,0,0,0,2,0,0,0.2562221828775331
233260,31.850381944328547,5.0,0.9794,0.609090909090909,7.91,4.36,0,0,1,6,4,1,0,0,1,0,0,0.36478653918666193
4292957,252.12099537067115,3.0,0.8625,0.5401785714285715,4.81,5.45,1,0,0,3,4,3,1,0,1,1,0,0.4490420697962503
2278423,30.398692129645497,2.0,-0.2247,0.4741666666666667,5.06,5.04,4,2,0,3,3,0,2,0,2,1,2,0.36931240369137935
1083362,88.65188657399267,5.0,0.9821,0.5778787878787879,9.28,5.36,3,0,0,4,3,1,0,0,1,3,0,0.33958441244123533
646473,186.88265046291053,5.0,0.959,0.7,2.52,1.51,0,0,2,1,3,1,0,0,0,0,0,0.3245557852713099
4611394,100.21854166686536,3.0,0.9434,0.7172321428571429,8.52,12.34,3,1,0,6,3,1,0,0,1,2,0,0.5871477090578489
2788410,-3294.742557870224,5.0,0.8957,0.6599999999999999,4.12,1.91,0,0,0,2,2,0,0,0,1,0,0,0.18867721958419734
4620104,16.882407407741994,4.0,0.7572,0.5166666666666667,10.43,2.17,1,1,0,1,4,0,0,0,1,1,0,0.2938731987015768
3143627,225.499907407444,1.0,-0.8136,0.3172619047619047,5.71,8.86,0,0,0,1,4,2,2,1,2,3,1,0.5897002914939928
1065303,147.92532407399267,3.0,0.9217,0.4763888888888888,8.19,7.36,3,0,1,2,3,0,0,0,3,2,0,0.4511008326980995
2505807,50.11032407404855,1.0,-0.5859,0.3892857142857142,6.61,1.69,1,0,0,1,0,1,0,0,1,0,0,0.4054212660576904
4584497,52.760636574123055,4.0,0.9899,0.6069750132908027,7.92,11.75,1,1,0,6,12,0,1,0,1,1,1,0.5584000530715879
3504409,1478.006423611194,5.0,0.5423,0.3346153846153846,6.62,3.86,0,0,0,1,1,0,0,0,0,0,0,0.46132753470015436
4200712,33.00825231475756,5.0,0.9705,0.5508522727272727,8.03,5.23,1,0,0,6,5,1,0,0,2,0,0,0.36381355488866807
3890243,532.643865740858,1.0,-0.672,0.525,8.78,4.25,0,0,0,2,0,1,0,0,2,0,0,0.4525912581637312
4688084,-2736.0645254631527,4.0,0.9847,0.4972618181818181,10.09,16.95,7,0,4,7,5,2,2,0,4,1,3,0.594056473661183
2574331,89.66386574087664,1.0,-0.8804,0.5398717948717949,7.25,6.05,3,0,0,1,1,1,0,0,2,2,2,0.4566246081069501
276415,71.94518518494442,4.0,0.9661,0.4890740740740741,9.53,6.35,1,0,0,4,3,1,1,0,1,0,0,0.4265843878301465
2828418,84.78671296313405,3.0,0.9376,0.5411904761904762,7.49,6.23,0,1,0,3,3,2,1,0,0,1,1,0.46728078859539457
840075,841.4641087963246,1.0,0.6405,0.3361111111111111,8.46,9.09,2,0,0,2,2,2,0,0,2,3,0,0.6279080285603152
2373761,34.44716435158625,5.0,0.9571,0.6900000000000001,4.2,1.81,0,1,0,1,5,0,0,0,1,0,0,0.270942747583964
2224053,279.92346064792946,5.0,0.8032,0.5666666666666667,6.24,1.54,0,0,0,2,1,0,0,0,1,0,0,0.2861346298798458
2611340,52.92009259248152,4.0,0.7906,0.7555555555555555,4.68,1.32,0,0,1,2,1,1,0,0,0,0,0,0.3026798312075702
4315835,545.092418981716,3.0,0.9694,0.6431818181818183,6.29,7.51,1,2,0,2,8,4,2,1,2,0,0,0.4814325885302167
4211558,-2959.8492245371453,1.0,0.4535,0.5026041666666667,8.01,7.07,1,0,0,4,0,2,1,1,0,0,3,0.44032581613362193
10581,23.57109953695908,3.0,0.9537,0.6314814814814815,12.19,6.1,1,0,2,4,2,0,1,0,0,0,0,0.4381678297652979
2878896,691.3130787033588,4.0,0.5106,0.7916666666666666,5.15,2.45,1,0,0,3,1,0,0,1,0,0,0,0.3260147652646494
1968246,219.06895833322776,4.0,0.9246,0.51875,6.06,5.64,2,0,0,3,2,1,1,1,0,1,0,0.4303472651306912
3914117,22.58406249992549,2.0,0.9081,0.6316666666666666,6.03,9.71,7,0,0,9,4,2,3,0,5,2,1,0.39333545160804406
1634283,84.0115856481716,5.0,0.9451,0.74,6.0,2.41,1,0,1,1,3,0,0,0,2,0,0,0.2659628665237616
2350173,51.62987268483266,4.0,0.9423,0.6,9.97,3.11,0,0,0,4,2,2,0,0,2,0,0,0.3216377708511894
3179206,519.7829050924629,4.0,0.8883,0.4627819548872181,8.01,14.29,8,2,0,8,7,4,0,0,1,0,1,0.7055218017241685
1413542,-3105.141307870392,5.0,0.9679,0.4375,9.4,4.05,1,0,1,2,2,1,0,0,3,0,0,0.24337571609184425
1208120,57.05401620361954,2.0,0.0,0.5666269841269841,5.58,5.41,1,0,1,2,5,0,0,0,5,2,2,0.3726175740876636
2883840,223.81667824089527,5.0,0.8783,0.45,7.24,5.42,0,0,0,2,6,1,0,0,1,1,1,0.4155953870315236
955074,430.70451388927177,5.0,0.9983,0.5493113752076018,7.72,55.81,11,4,1,30,25,5,8,4,6,4,8,0.9923138307514743
3431566,116.96305555524305,4.0,0.8126,0.4212962962962963,6.23,6.42,0,1,0,5,1,3,0,0,2,1,1,0.4744476378456768
4291167,487.11244212975726,4.0,0.9678,0.6714285714285715,7.23,3.14,1,0,0,4,5,1,0,0,0,0,0,0.35615845823715186
80732,26.143020833376795,4.0,0.9924,0.7111111111111111,10.11,7.54,2,0,1,5,8,1,0,0,1,0,2,0.4417015227257322
2659626,376.99587962962687,4.0,0.6249,0.5094444444444444,6.13,3.76,0,3,0,1,3,2,1,0,0,0,1,0.39691871214980534
2052663,141.7694328702055,4.0,0.9062,0.7300000000000001,4.32,2.57,0,1,1,0,2,1,1,0,0,0,0,0.32644715309603084
2823103,46.854930555447936,4.0,0.936,0.6645743145743146,7.57,5.82,0,0,0,7,4,0,0,0,3,1,1,0.34931481686080323
2349793,36.29556712973863,5.0,0.9761,0.8833333333333334,9.34,4.16,2,0,0,2,2,1,0,0,0,0,1,0.29434295941057603
