,first_page_exposure,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
267750,34,0.9403,0.590873016,9.34,12.52,7,0,0,2,4,2,1,1,2,1,8,0.46956401071042947
265476,7,0.9972,0.578639847,8.34,22.77,2,0,3,2,11,5,1,2,3,5,10,0.6084171461044698
734552,39,0.9704,0.481691468,9.4,17.07,4,0,1,3,8,2,0,0,1,6,9,0.5521370170093455
462281,174,0.9509,0.628571429,8.83,3.25,2,0,1,1,3,1,0,1,0,1,2,0.4079112758156577
436133,133,0.9442,0.574833333,4.96,4.05,2,1,0,2,3,2,0,1,0,1,4,0.42232614587798384
649922,18,0.9884,0.539393939,12.23,9.93,6,0,0,2,3,1,0,1,2,0,5,0.42912613689125356
142328,12,0.9771,0.514227273,9.33,9.7,3,1,0,1,9,3,0,1,2,2,4,0.4635778068886029
160538,3,0.9715,0.399904507,8.53,18.14,7,0,1,0,8,5,0,4,3,7,7,0.606039419500012
323896,21,0.6908,0.640151515,10.24,8.02,4,0,0,2,4,0,1,1,3,0,8,0.40185822349874895
748825,12,0.9892,0.621759259,7.24,11.14,9,0,2,0,4,2,1,2,0,5,10,0.4610302134359679
518284,24,0.926,0.608333333,27.24,4.77,2,0,0,0,3,3,0,1,0,1,3,0.3764316508908535
37771,98,0.5744,0.452833333,6.73,9.68,2,0,1,1,7,1,0,1,0,1,7,0.5287982094920184
395874,1052,-0.3182,0.773333333,6.19,6.4,1,0,1,0,1,1,1,0,1,1,10,0.7782340623278112
643862,54,0.4471,0.601071429,6.65,7.55,5,1,1,1,2,0,1,1,0,0,4,0.4464753874250443
597929,55,0.9788,0.7,5.91,4.3,0,0,1,2,2,1,0,0,0,1,3,0.3600101450097328
309338,129,0.9755,0.498928571,11.6,12.03,1,1,1,2,7,3,0,1,1,3,7,0.5288876765364063
145679,9,0.9933,0.371774892,8.7,41.47,10,1,0,0,4,1,12,8,4,14,15,0.7984085120727087
552995,44,0.9773,0.546296296,5.8,8.7,1,0,1,3,6,2,1,3,1,2,3,0.4439317992045572
151068,16,0.9965,0.620591966,13.03,27.6,7,0,1,2,8,7,1,0,3,5,12,0.6566221290778911
729213,6,0.9501,0.615,8.44,2.34,0,0,0,1,3,1,0,0,2,0,2,0.3368460595074752
219058,28,0.8126,0.571428571,7.58,4.07,1,0,0,0,1,3,1,1,0,0,0,0.40213231253977744
316648,48,0.9744,0.482231405,10.76,9.65,1,1,2,1,3,2,0,0,2,1,1,0.45567508948905194
259944,8,-0.8191,0.502398268,8.44,34.02,5,2,1,3,9,1,2,1,0,6,22,0.8111945792744811
623099,392,0.8779,0.505,8.41,3.04,1,0,0,1,3,0,0,0,0,1,2,0.5048227510105477
182236,28,0.9968,0.44495671,10.43,29.41,8,0,1,8,22,5,0,3,2,7,24,0.7093124462678869
769,19,0.9694,0.522489648,10.12,12.4,3,1,2,0,8,0,0,2,0,0,16,0.4943461185994157
520238,51,0.9485,0.571428571,9.25,3.7,4,0,0,0,3,0,0,0,1,1,2,0.3760224153126454
335665,26,0.857,0.581984127,9.6,8.01,1,0,0,4,2,4,2,0,1,1,4,0.41713496678236567
292606,7,-0.8794,0.37447619,7.6,25.05,12,1,1,1,5,1,5,3,2,2,30,0.7556600779282009
756036,26,0.9961,0.516409774,8.25,18.24,9,0,0,5,13,1,0,0,3,1,13,0.5348977546936828
78855,8,0.8779,0.585714286,7.3,3.31,2,0,0,0,4,0,1,1,0,1,4,0.369238301039802
693989,335,-0.6283,0.709722222,6.9,7.68,3,0,0,0,5,1,1,0,0,2,4,0.6145095088094021
230593,11,0.9527,0.558333333,8.6,6.51,0,0,0,0,3,1,0,0,4,2,6,0.39552974781458367
673598,4,0.9808,0.418790174,11.86,26.53,8,1,0,0,11,2,3,1,14,5,16,0.6238023358662994
197877,17,0.9744,0.573319129,10.42,20.02,3,0,2,2,11,3,1,0,3,4,17,0.5672486287503048
61779,5,0.9958,0.560555556,12.37,26.25,8,1,1,2,10,4,2,1,0,0,4,0.6395499044496868
184204,50,0.9638,0.468580506,9.3,18.42,5,1,3,1,7,5,0,0,3,2,17,0.5928914945921477
429222,103,0.765,0.411978022,13.66,6.77,1,0,0,1,3,3,0,1,0,1,10,0.4924971541108144
757981,36,0.765,0.587342172,4.94,12.91,3,0,0,1,6,3,0,1,2,4,8,0.5151394192913762
308444,131,0.9785,0.547525677,9.38,5.8,2,0,0,1,8,1,0,0,2,0,3,0.4344581706944632
323323,23,0.9817,0.634375,6.71,8.67,3,1,0,2,9,0,0,1,3,1,9,0.4085417128303742
618629,981,0.9153,0.483030303,7.82,7.45,3,2,0,1,4,1,0,0,0,0,1,0.7495698050611639
689751,160,0.9893,0.502597403,8.92,17.73,4,0,2,1,5,2,4,2,4,4,8,0.5827800870797905
484741,54,0.9873,0.606933333,6.86,13.65,6,0,3,2,5,3,0,0,4,3,9,0.48229570927248777
55791,69,-0.4767,0.566666667,5.2,2.41,2,0,0,0,1,4,0,0,0,0,3,0.4941097799478195
318745,23,0.9881,0.600730994,7.87,12.74,1,0,1,1,6,1,2,1,1,0,10,0.4704490361037073
155259,6,0.9678,0.386969697,9.76,8.98,2,0,1,1,3,2,0,1,1,3,10,0.4691821348179179
620007,19,0.8271,0.533333333,8.33,1.23,0,0,0,0,1,0,0,0,0,0,0,0.3547674203997621
124447,14,0.9908,0.511919192,7.5,13.78,9,1,2,7,7,1,0,2,0,2,7,0.4692951810944148
545804,80,0.836,0.583333333,7.5,2.54,2,0,0,0,2,1,0,0,1,0,4,0.3856852311520594
19401,463,0.9792,0.489960928,7.83,14.53,4,2,1,2,8,0,0,0,2,1,9,0.652480288540487
217095,27,0.9171,0.546428571,5.85,5.76,2,0,0,3,2,0,0,0,2,0,2,0.3796887362524509
61271,11,0.9537,0.610416667,6.99,2.41,1,0,0,1,6,1,0,0,1,1,1,0.3494553407744829
685220,23,0.9808,0.788888889,7.16,3.64,2,0,0,3,6,0,0,0,1,1,4,0.3178785305319791
118633,10,-0.34,0.411764706,6.23,7.84,4,3,0,0,2,0,2,0,1,2,8,0.5269674802803397
567476,13,0.8689,0.531571429,7.12,4.0,2,0,0,0,3,0,0,0,0,1,3,0.3873250413778958
673673,4,0.9484,0.785833333,9.6,3.82,1,0,1,2,2,0,0,0,2,0,1,0.30587193431576176
396264,544,0.9766,0.791666667,2.84,4.3,2,0,0,1,6,0,0,0,1,0,6,0.5198076060145271
577700,11,0.936,0.597222222,6.62,4.32,0,0,0,3,4,1,0,0,2,0,1,0.35606984379755824
234936,7,0.9709,0.460714286,6.0,2.42,1,0,1,0,3,3,0,0,1,1,1,0.38707960083817616
46512,6,0.9385,0.526847422,12.62,8.8,3,0,0,1,8,2,0,0,0,2,7,0.4463655039208798
469805,1424,0.6597,0.496117424,10.54,7.43,1,0,0,0,3,1,0,2,0,1,2,0.8601490811862371
675656,8,0.998,0.64489899,8.36,17.8,7,0,1,5,11,3,0,2,2,2,5,0.5115870578639606
150585,12,0.9468,0.683333333,5.02,2.01,1,0,1,0,2,0,0,0,1,0,1,0.32691636861264517
453162,52,0.8806,0.519047619,7.27,4.8,4,0,1,0,5,3,0,0,1,1,2,0.42532391335843317
462365,157,0.4019,0.494444444,10.07,2.26,1,0,0,0,2,0,0,0,2,1,1,0.43957816390341853
193084,15,0.9953,0.659632035,9.9,11.46,3,1,1,1,9,3,0,1,3,2,7,0.4502998347483562
254458,9,0.8316,0.805555556,12.86,3.66,4,0,1,0,2,0,0,2,0,1,2,0.3280725055902528
186944,4,0.8519,0.65,4.7,1.56,1,0,0,0,4,1,0,0,0,0,1,0.34588491529093535
503792,28,0.9518,0.802,8.17,2.23,1,0,0,0,5,0,0,0,2,0,3,0.31295872680923975
469485,31,0.9646,0.487301587,14.13,9.72,2,0,2,0,3,1,1,0,2,0,4,0.4436454165075135
17073,222,0.9559,0.773333333,5.2,1.0,0,0,0,0,3,0,0,0,2,0,1,0.3662843504210161
627370,26,0.9904,0.601720085,6.91,10.64,4,0,0,4,6,2,0,3,1,0,6,0.44539230157233306
258418,32,0.9423,0.546428571,8.06,4.27,1,0,1,0,1,0,0,0,1,1,5,0.3804840467632977
240602,32,0.9513,0.497486772,8.55,9.77,3,0,1,1,6,2,1,0,2,2,12,0.46392794056482717
249038,10,0.7871,0.614285714,9.28,4.92,1,0,0,0,6,1,0,0,1,0,3,0.3898992403496628
624312,13,0.9937,0.548494898,9.49,15.98,6,0,3,3,4,0,4,3,5,0,12,0.46953991141733065
485077,11,0.9865,0.701257143,8.51,13.07,4,0,1,2,9,1,0,0,2,0,5,0.44246839934711707
478942,10,0.9725,0.547008547,7.27,6.89,1,0,0,2,4,1,0,1,2,4,5,0.4033023705733352
566017,39,0.9663,0.67052005,8.29,13.28,1,0,1,1,7,1,2,2,2,1,11,0.47092577201491054
44403,114,0.9855,0.438789683,8.2,13.57,5,0,0,0,11,3,3,0,2,2,10,0.5628097839088719
345625,93,0.9844,0.723809524,6.58,7.58,3,0,0,2,5,0,0,3,2,1,6,0.40472142152172463
205319,21,0.9432,0.687142857,10.62,2.97,2,0,0,1,2,1,0,1,0,0,2,0.341356523984876
677041,4,0.946,0.517619048,6.9,5.29,0,0,1,0,5,1,0,1,0,0,4,0.40752857713323876
679868,14,0.9583,0.673333333,13.83,2.25,0,0,1,0,2,0,0,0,1,0,1,0.32086808404102635
484753,49,0.9849,0.498348318,9.01,18.6,4,0,1,2,15,2,1,1,3,1,13,0.5777133061266954
196597,206,0.975,0.629100529,8.07,4.2,1,1,1,2,6,1,0,0,0,1,2,0.4254943896201756
98415,64,0.9826,0.7,7.12,5.73,1,0,0,4,6,0,0,0,1,0,6,0.3644663211752839
38057,21,0.9575,0.511552471,6.99,15.12,3,2,0,1,15,4,2,1,0,2,14,0.5610531185363521
571239,24,0.9702,0.695238095,7.45,5.2,3,0,0,3,4,1,0,3,0,0,4,0.36516544183852256
575963,23,0.9874,0.454960317,7.95,8.52,3,0,0,2,5,2,0,0,2,1,8,0.4469206026926554
516912,9,0.9944,0.579247312,8.26,18.48,4,0,0,6,7,4,1,1,3,7,18,0.5318916493047566
294399,6,0.9813,0.58390377,9.18,5.07,4,0,0,0,9,0,0,0,0,3,4,0.3874987826085753
130396,23,0.9442,0.563307131,8.74,10.06,4,0,0,1,6,1,1,0,0,3,8,0.45359836127762065
680592,15,0.9529,0.42526738,6.15,9.49,2,0,0,2,7,2,3,3,0,4,8,0.48055209743797306
738913,259,-0.7806,0.427654607,10.03,19.58,3,0,0,1,8,4,0,1,0,5,19,0.7874910639473708
205425,36,0.9198,0.549022837,6.59,14.29,3,0,1,0,11,4,2,1,0,1,9,0.5466798357661191
468622,62,0.8834,0.593333333,12.23,5.01,0,0,0,2,4,0,0,0,0,0,5,0.38741354751252677
355425,87,0.2617,0.547474747,5.13,9.68,3,0,0,0,2,2,2,1,0,0,6,0.5289593295521281
492021,9,0.9601,0.772222222,6.07,3.25,1,0,0,2,0,0,1,0,2,0,5,0.30621741229074734
316212,5,0.9794,0.568518519,5.64,6.65,4,0,0,0,5,2,0,1,0,2,6,0.422437319123699
580073,11,0.7264,0.409722222,7.22,2.56,0,0,0,0,2,0,0,0,1,0,1,0.39565505294699005
78398,48,0.9595,0.729166667,5.1,2.78,0,0,0,0,4,0,0,0,1,0,2,0.3431329733662894
329161,21,0.9808,0.520512821,7.63,9.11,6,0,0,0,7,1,4,1,2,0,3,0.43739377337674795
569052,368,0.3981,0.41250221,5.1,28.22,15,0,0,0,3,0,3,0,0,1,31,0.8091717106313722
421671,78,0.9943,0.578037767,12.16,13.19,3,0,1,1,12,0,1,0,5,3,3,0.47613156793146766
474776,651,0.9805,0.544888889,8.99,15.23,5,1,0,2,8,0,3,1,5,5,13,0.6972907693213457
551861,32,0.9442,0.715,12.36,8.08,5,0,0,3,5,1,0,1,1,2,5,0.38484942202261574
356664,53,0.9638,0.596365079,9.89,7.39,3,0,0,1,4,1,1,1,3,1,7,0.40908942386633035
745138,38,0.6808,0.566666667,6.9,3.63,4,0,0,1,2,1,0,1,0,0,0,0.3956765166322552
578650,25,0.9419,0.457875458,11.23,7.2,1,0,0,0,4,2,0,0,0,0,2,0.44553636712247
697431,82,0.9938,0.744761905,8.86,5.69,0,0,0,1,8,3,0,2,2,0,3,0.39674691914776
362845,19,0.9865,0.55625,6.49,8.61,4,1,1,1,10,4,0,0,1,2,6,0.4562973833566912
157610,7,0.8434,0.448412698,7.54,4.33,3,1,0,0,4,1,0,0,0,2,4,0.4142028928883187
510098,49,0.9729,0.5975,8.13,5.02,1,0,1,2,5,1,0,0,1,3,5,0.3849040466268783
441016,59,0.939,0.51962963,6.1,4.5,1,0,1,0,4,0,0,1,0,0,3,0.40969609595599144
432350,82,0.9246,0.418476365,6.88,5.64,1,0,1,0,4,0,1,0,2,1,1,0.4360152917181394
174847,6,0.9337,0.561818182,10.1,4.45,2,1,0,1,4,0,0,0,1,0,2,0.36687614921757095
212998,7,0.9711,0.526923077,10.06,9.24,2,0,1,1,4,3,0,0,2,3,6,0.44299118179657804
6851,8,0.9954,0.585057471,7.82,13.65,4,1,1,1,15,5,1,0,2,2,4,0.5103621252369878
658227,8,0.9432,0.492857143,5.23,3.42,1,0,0,0,2,0,0,0,3,3,2,0.37140774345162125
400228,28,0.9767,0.534982488,8.31,11.06,4,0,2,0,8,1,0,0,0,1,6,0.47636613663037136
342108,40,0.996,0.495690994,7.43,24.8,10,0,3,4,12,9,0,5,2,1,13,0.6816979197157074
571188,15,0.9892,0.446759259,10.23,8.99,5,0,0,0,5,1,0,0,3,3,2,0.44623961068096035
577242,97,0.9623,0.678392857,11.33,5.42,0,0,1,2,5,0,0,1,0,0,5,0.38613032592951824
304590,277,0.9729,0.665277778,7.8,6.52,3,0,0,0,1,2,3,1,0,6,2,0.4810211478255104
249718,13,0.9766,0.623796296,7.45,9.4,4,0,0,0,8,6,1,0,3,0,5,0.45442787167142734
365752,76,0.987,0.544515306,6.4,16.67,7,0,0,0,14,5,3,1,1,1,12,0.5914787993804438
216122,174,0.2263,0.533333333,10.15,2.95,1,0,0,2,1,2,1,0,0,2,1,0.46329731954488584
273538,56,0.9931,0.555468254,8.35,32.95,9,0,4,3,17,10,2,1,1,5,13,0.760762647476505
24288,67,0.8271,0.736666667,5.91,2.54,0,0,1,0,2,0,0,0,0,0,2,0.35144600278008176
635770,12,0.91,0.5,6.93,2.5,1,0,0,0,2,0,0,0,3,0,0,0.35830253807747925
528819,6,0.802,0.76,8.16,2.64,0,0,0,0,2,0,0,1,0,0,3,0.33261638986742653
361990,208,0.9928,0.558640486,7.23,11.33,3,0,1,3,11,4,0,0,2,2,8,0.5405882710625778
389539,4,0.9169,0.585714286,8.6,2.53,0,0,1,0,3,1,0,0,1,1,5,0.3549691241509825
6626,343,-0.7013,0.615,7.12,3.39,2,0,0,0,2,2,0,0,0,2,4,0.5951900845055154
636216,19,0.9022,0.592124542,7.08,7.96,2,0,0,0,4,1,1,1,2,1,7,0.42299332898122793
458798,35,0.9796,0.649603175,7.4,6.68,2,0,0,0,3,1,0,0,1,1,3,0.3974434785037059
519903,13,0.9854,0.588555556,7.1,6.11,2,0,0,4,6,1,0,0,5,0,2,0.3595605353815892
502515,48,0.9803,0.570222635,6.81,7.39,2,1,1,0,6,4,1,0,2,1,6,0.44223168347849806
88017,5,0.9771,0.492437533,7.74,14.59,7,0,0,1,6,4,2,0,2,5,10,0.5233748672041908
125506,54,0.9783,0.508041958,7.1,8.05,4,0,0,1,5,1,0,0,1,2,3,0.4447441812223648
284966,76,0.9938,0.49784127,9.51,20.33,8,0,1,7,10,5,0,1,2,3,9,0.5915686587242273
554447,20,0.9916,0.542400332,7.48,21.48,10,1,1,1,10,7,1,1,5,2,9,0.610451869222877
359731,37,0.9274,0.618,10.06,5.8,4,0,0,1,2,0,1,3,0,0,6,0.39048820085149605
560448,22,0.9442,0.552777778,15.69,4.04,1,0,0,0,1,0,0,0,1,0,4,0.36437276813501096
332722,11,0.9865,0.537734488,10.14,11.94,3,0,0,1,6,0,0,1,3,4,5,0.457321909814139
663101,33,0.9944,0.639233954,8.24,12.66,6,1,1,5,10,2,1,0,2,3,9,0.44792957005825346
42057,38,0.9884,0.537539328,9.64,37.91,4,2,2,2,17,3,5,4,1,8,25,0.7827296138070778
429495,242,0.9802,0.66,9.16,4.13,1,1,3,0,4,0,0,0,1,1,3,0.4240108403058594
440775,45,0.9928,0.64730712,9.97,16.39,2,0,2,3,6,5,1,3,2,3,9,0.5254676038168968
429026,13,0.9691,0.567604167,8.19,17.67,8,1,3,4,10,5,0,0,0,3,5,0.5451976863967551
732155,384,0.9886,0.504451346,8.85,13.29,3,0,1,1,10,2,0,3,2,0,9,0.6369236344448322
479311,7,0.8735,0.558490896,6.57,15.7,2,0,0,4,11,1,0,0,2,3,10,0.5095539315905216
354883,264,0.982,0.583013136,6.63,15.85,5,0,1,2,8,5,0,1,2,4,6,0.6184278640181117
85381,50,0.9246,0.6025,12.98,1.9,2,0,0,0,2,1,1,0,2,1,1,0.34520915261703594
413058,15,0.9363,0.532222222,6.72,6.79,4,0,0,0,5,1,0,0,2,0,6,0.41731065185506494
258321,26,0.7748,0.516687552,6.57,43.67,27,1,0,5,17,3,9,4,10,10,15,0.7894372651510301
621381,96,0.936,0.537037037,7.7,3.82,3,0,1,2,2,0,0,0,3,0,1,0.37780751156905096
276560,12,0.7357,0.375,6.56,3.16,1,0,0,2,3,1,0,0,0,0,6,0.4125392600361332
357199,442,0.8689,0.474122807,7.25,7.99,3,0,0,0,2,0,0,0,0,2,6,0.5952728546900468
204567,4,0.9607,0.8125,6.28,2.23,2,1,0,0,1,0,0,0,1,0,2,0.3028034544736035
551751,96,0.9162,0.52936067,8.19,14.35,4,0,0,2,8,4,0,1,0,3,10,0.5624577120853871
47598,7,0.9918,0.52669815,11.61,27.88,5,0,0,6,15,6,6,0,1,3,22,0.6607914996955533
740428,7,0.9779,0.733333333,5.95,3.97,3,0,0,0,5,1,0,1,3,0,2,0.34078698036012667
2701,56,0.9964,0.511055556,8.01,18.32,8,0,0,3,11,2,1,4,4,4,6,0.5650065063989117
232399,32,0.9816,0.566145833,10.18,13.93,10,1,1,1,4,3,1,0,4,1,12,0.48646790003237245
479238,70,0.9925,0.639153439,8.16,10.39,3,0,1,0,3,1,0,3,2,3,7,0.4579999428224042
236506,25,0.5574,0.7625,5.53,2.06,0,1,0,0,0,0,0,0,2,0,2,0.33609063646688625
9345,66,0.9588,0.573611111,8.5,4.66,0,0,0,0,4,0,0,0,4,1,5,0.3842320733287718
244256,24,0.946,0.9275,4.74,3.36,2,0,0,1,3,0,0,0,0,0,5,0.30654427429943737
94688,4,0.9888,0.598432602,9.32,10.49,3,0,1,0,12,3,0,0,1,2,10,0.4668086221690749
258686,12,0.9932,0.480236446,8.75,21.89,1,0,2,0,11,2,1,4,5,1,20,0.6144464287799297
739232,11,0.9783,0.504757085,5.38,8.93,1,0,1,1,3,1,0,1,2,1,5,0.4380257376435486
457169,33,0.9873,0.50501443,10.36,13.12,4,1,0,3,5,3,0,1,3,1,8,0.49002420466313856
502752,44,0.9961,0.5925667,8.01,22.31,10,1,2,1,16,6,1,5,4,2,16,0.6369114387664505
531899,14,0.9618,0.503571429,8.0,4.13,3,0,0,1,7,1,0,0,0,1,1,0.3922290526113121
607499,536,0.9755,0.55218254,7.64,7.33,4,0,0,1,5,1,0,2,0,1,9,0.6085312358821563
10727,174,0.9929,0.566666667,7.86,12.1,4,0,2,0,5,0,0,0,3,0,10,0.5113635310151098
760990,13,0.9808,0.659004329,5.57,4.23,3,0,0,0,7,2,0,0,0,2,3,0.3793426453578
449492,30,0.6908,0.555777778,8.0,1.25,0,0,0,1,2,0,0,0,0,2,1,0.36094746890671064
552654,282,0.4019,0.383333333,7.5,8.26,2,0,0,0,1,0,1,0,1,5,5,0.5842571096301676
175059,4,0.9844,0.55615346,4.31,7.14,3,0,0,3,9,0,0,3,1,2,5,0.40879503148303387
505041,33,0.96,0.576372549,6.77,11.96,7,0,1,3,6,1,0,1,0,2,8,0.468180606219418
243962,17,0.7096,0.705555556,8.54,6.02,2,3,0,0,1,1,0,1,1,5,3,0.3903987601924183
364797,373,0.9001,0.866666667,6.52,1.62,2,0,1,0,1,1,0,0,0,0,1,0.41698348336097296
277494,28,-0.0516,0.484722222,7.5,4.35,0,0,0,0,1,1,0,0,1,1,3,0.4651498462999155
461030,21,0.9413,0.463888889,4.15,2.45,1,0,2,0,3,0,0,0,0,0,1,0.37910820632686415
282349,17,0.9313,0.551666667,7.12,3.5,4,0,0,1,3,0,1,0,2,1,3,0.35850717645729774
189357,19,-0.3208,0.511851852,6.61,21.7,5,1,0,0,3,1,1,2,6,12,10,0.6689050760504153
272466,421,0.8591,0.526861472,5.26,1.87,2,0,0,0,2,2,0,0,0,0,1,0.5180251652040352
212033,16,0.1508,0.721666667,10.05,5.46,0,0,0,1,1,2,1,1,0,0,2,0.41449619302473667
689303,34,0.7717,1.0,15.31,0.98,0,0,0,0,0,0,0,0,1,0,1,0.2683892752479308
368498,45,0.9565,0.746666667,11.42,5.82,2,0,0,0,2,0,0,1,2,0,1,0.358695096708453
633450,19,0.875,0.609166667,9.51,4.13,1,0,0,4,3,0,0,0,0,1,1,0.34982595086104884
18795,123,0.9643,0.727142857,6.97,3.86,2,0,0,0,2,1,0,0,1,1,3,0.3805947263040817
585181,4,0.5267,0.588095238,6.0,3.63,1,0,0,0,1,0,0,0,0,0,1,0.3883694403634526
519233,14,0.9648,0.453968254,8.38,13.63,4,2,0,1,8,3,2,3,0,2,9,0.5346486583565601
639878,253,0.9571,0.519030303,6.3,15.76,4,2,1,2,8,5,0,3,0,2,13,0.6434834029733199
356891,196,0.807,0.432844933,6.92,17.6,10,0,0,0,5,1,3,0,2,3,11,0.6289543629612878
387270,15,0.9844,0.606,6.79,6.6,2,0,1,0,5,1,1,0,2,2,4,0.39403384669363806
460972,65,0.9808,0.497387218,4.21,15.17,2,1,0,7,6,3,3,1,5,5,10,0.5014856812696105
588434,72,0.7906,0.577083333,23.2,3.76,2,0,0,0,2,1,0,0,0,0,4,0.3845207261927664
284989,6,0.9888,0.533812261,7.69,14.23,11,1,0,4,7,3,1,0,4,4,4,0.47562782960713446
83294,24,0.4215,0.568181818,8.04,1.75,0,0,0,0,2,1,0,0,0,0,2,0.39019446404486186
85803,37,0.8805,0.621111111,8.19,6.64,4,1,0,0,4,1,2,0,3,0,3,0.3949680288904977
719224,42,0.9977,0.549253631,9.51,28.53,10,0,0,8,15,1,1,3,5,4,18,0.6378031752877886
91004,174,0.9399,0.47545977,9.11,13.03,3,0,0,1,5,0,0,2,3,3,10,0.5482362599843221
375693,277,0.9647,0.496296296,11.41,9.67,3,0,0,2,8,4,0,1,1,2,5,0.5621687008374988
686604,145,0.8699,0.7775,7.58,2.78,2,1,1,0,2,1,0,0,1,0,5,0.3699941079203215
141056,24,0.9747,0.581746032,11.84,14.07,7,0,0,1,6,1,2,1,4,3,10,0.4745218061861447
585597,10,0.9612,0.795,6.93,2.6,2,0,1,0,2,0,0,0,1,0,3,0.3108004340242326
295440,11,0.8885,0.326262626,8.78,8.86,3,0,0,0,2,4,4,1,5,2,8,0.47738250209087074
358528,472,0.9348,0.467722833,8.26,7.61,4,0,1,3,4,2,2,0,0,1,6,0.5865610799088898
115039,4,0.9702,0.545867769,8.14,6.36,3,0,0,2,5,0,0,1,1,3,2,0.39087594131714154
277687,155,0.457,0.278125,6.57,10.66,5,1,0,2,3,0,3,0,3,2,1,0.5582147769922698
451906,280,0.9906,0.643473266,9.14,18.32,5,0,0,2,15,3,1,2,3,7,6,0.6345890996842967
587913,13,0.923,0.6125,9.57,3.75,3,0,0,1,3,1,0,0,0,0,2,0.36180818207120524
282153,127,0.9741,0.626923077,10.94,12.68,1,0,2,4,5,2,1,0,7,3,2,0.4538586528082147
302488,18,0.9892,0.651190476,7.46,10.27,6,0,0,6,7,1,0,0,2,1,3,0.397422411918869
85001,59,0.9612,0.641666667,8.12,3.11,0,0,1,2,2,1,0,0,1,0,1,0.3515748649189701
32182,67,0.8598,0.607954545,37.93,5.54,2,0,1,0,5,1,0,0,1,2,5,0.3738785929627072
465964,1574,0.7579,0.491319444,4.31,5.41,1,0,0,1,4,0,0,1,1,1,3,0.8670499590308892
433320,42,0.2263,0.208333333,3.2,0.98,0,0,0,0,0,1,0,0,0,1,0,0.47278800169994706
453482,1250,0.9676,0.612333333,10.03,6.82,5,0,1,0,5,3,0,0,1,2,4,0.799960109648349
408013,25,0.4215,0.373214286,6.62,2.78,3,0,0,1,2,1,0,0,1,0,1,0.4298489691538209
472077,92,0.7096,0.388,9.5,5.1,0,0,0,1,1,0,0,0,2,0,2,0.44422646665541515
159367,3,0.836,0.458333333,9.57,3.58,2,0,0,0,1,0,0,0,0,1,4,0.3894284674483225
729442,33,0.9136,0.611071429,7.38,10.56,2,0,1,2,4,0,1,0,1,1,10,0.4364610767568325
153633,6,0.7467,0.664169719,7.0,5.26,2,0,3,1,4,0,0,0,0,0,6,0.37323660148999344
552931,14,0.9823,0.458441558,10.1,7.45,1,0,1,0,4,6,0,0,1,0,3,0.4629817658173773
346714,12,0.9246,0.605555556,8.56,4.61,2,0,0,2,2,0,0,1,1,0,4,0.36050185177551686
492936,56,-0.9466,0.525494743,8.15,10.61,0,0,0,0,6,1,2,0,0,1,6,0.6077377267189377
74449,9,0.9729,0.71,7.35,4.64,2,2,0,1,7,0,0,1,0,1,3,0.3558130142845582
494848,27,0.549,0.541666667,7.34,3.23,0,0,0,2,3,1,0,0,1,1,2,0.39226607231527605
739532,113,0.9848,0.609183673,8.85,9.96,5,0,1,1,11,3,0,1,2,1,4,0.4836436240422388
