,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
18307,36.03636574093253,2.0,0.6561,0.4380555555555556,6.74,26.65,19,0,1,12,8,1,8,2,11,7,6,0.6469782342424251
15709,-2475.505729166791,5.0,0.9729,0.7101785714285714,6.62,4.25,5,0,1,1,1,0,2,0,0,0,1,0.3239122817245658
1745,41.86246527777985,1.0,-0.3447,0.5917857142857142,7.64,12.59,3,1,2,0,5,3,1,0,1,1,6,0.682000799142859
23544,334.71481481473893,4.0,0.3395,0.6547619047619048,13.44,3.2,1,0,0,1,1,0,0,0,0,1,2,0.38964643438137114
18367,665.4690046296455,4.0,0.8074,0.625,3.8,1.29,2,0,0,1,1,1,0,0,0,0,0,0.41871533505308384
14615,497.2072569448501,5.0,0.9382,0.4742857142857143,11.84,5.17,2,0,0,0,3,0,0,0,0,1,2,0.49347833710869965
3314,174.3217939818278,3.0,0.9854,0.5189440993788821,10.55,18.11,3,1,1,3,5,2,0,1,0,2,11,0.7574108199959112
10898,480.0450694444589,5.0,0.9041,0.65,11.3,3.08,2,0,0,0,0,0,0,1,1,0,0,0.3909477629914843
10539,124.16678240709008,4.0,0.8591,0.625,7.81,2.07,1,0,1,0,3,1,0,0,0,1,3,0.42841983097777636
22453,400.9455208336003,5.0,0.6369,0.5333333333333333,3.48,1.62,4,0,0,0,1,0,0,0,0,2,1,0.41357183096719846
29060,48.14611111115664,5.0,0.9714,0.7857142857142857,8.66,4.54,2,0,1,2,3,0,0,0,1,1,2,0.4041390408604089
24284,428.9208912034519,2.0,0.5719,0.5375420875420875,5.04,3.55,2,0,0,5,4,0,0,0,1,0,0,0.4609653607864101
3454,172.24207175942138,3.0,0.538,0.5888888888888888,12.63,10.18,7,2,1,3,2,3,2,1,0,1,2,0.5771483127315779
21294,-2607.229803240858,4.0,0.7178,0.6749999999999999,7.52,6.39,0,1,0,1,3,0,0,0,0,0,1,0.3657758338522262
10845,83.42672453681007,3.0,0.9844,0.4916666666666667,5.91,12.53,8,0,0,3,4,1,1,0,0,1,5,0.6628790762852323
2873,352.66954861115664,2.0,0.2263,0.3444444444444444,5.31,5.21,9,3,0,1,1,0,0,1,0,1,1,0.5528495482910414
18482,543.1081134257838,4.0,0.7717,0.6015151515151516,9.15,1.01,1,0,0,0,3,0,0,0,0,0,0,0.40541238428325377
4620,257.8535995366983,2.0,0.0,0.8000000000000002,6.24,1.25,3,1,0,0,1,0,0,0,0,0,0,0.36868405713891056
10695,1008.7288078702986,4.0,0.0258,0.5122222222222221,8.58,7.92,7,0,0,1,1,1,0,1,0,1,4,0.6049592623237451
15519,1048.687916666735,5.0,0.765,0.781547619047619,6.29,4.76,0,0,0,0,5,2,0,0,1,0,3,0.48230046255307296
27710,31.90988425910473,4.0,0.9259,0.4755102040816327,9.13,8.27,5,0,0,0,4,2,2,1,0,4,1,0.5216462429540868
24279,58.405439814552665,5.0,0.9713,0.4908333333333333,8.3,7.05,2,1,0,0,2,0,0,2,0,2,3,0.5021272627272667
9599,108.9585185186006,4.0,0.9274,0.475,12.63,1.54,0,0,1,1,2,0,0,0,1,1,1,0.38739061012296283
6199,251.089687500149,5.0,0.7717,0.5787037037037037,5.55,3.32,6,0,0,0,2,0,0,1,0,0,0,0.4765671698851399
25279,640.5309490738437,5.0,0.9687,0.5052910052910052,7.09,9.52,9,0,0,1,9,0,0,2,0,0,2,0.6970300561691425
26673,812.6048842594028,1.0,0.3802,0.3706302521008404,6.55,9.46,5,3,0,2,6,0,3,1,0,2,2,0.5925070754395754
29901,97.1128935185261,5.0,0.9184,0.7000000000000001,11.61,3.48,0,0,1,0,0,1,0,0,2,1,0,0.3575503338091785
1935,18.97204861138016,4.0,0.7184,0.6296296296296297,7.25,5.98,1,1,0,2,1,1,0,0,1,1,0,0.4284524891449485
26309,111.2346412036568,5.0,0.8137,0.4153846153846154,8.02,1.91,3,0,0,0,2,0,0,1,2,0,1,0.41811398265626776
255,14.23400462931022,3.0,0.7003,0.63,9.0,3.63,1,1,0,1,1,0,1,0,0,2,2,0.36437293859187875
10214,511.5735069443472,4.0,0.9936,0.5834681400470875,6.15,13.59,5,0,3,3,11,0,0,0,2,1,8,0.7443521665245233
23,23.91393518494442,3.0,0.9477,0.4541516585266587,6.02,8.48,1,0,0,0,9,1,0,0,0,0,8,0.6405359051006845
8559,26.24567129602656,4.0,0.9763,0.711315789473684,9.73,9.45,9,0,1,2,7,2,0,2,0,2,3,0.628683634582709
2829,14.845601852051914,4.0,0.9297,0.5779411764705883,7.02,10.46,1,0,1,2,4,1,1,0,3,1,8,0.5333480419158262
20820,58.15973379649222,1.0,0.7436,0.6388888888888888,6.86,7.21,6,1,0,1,3,0,0,1,2,0,3,0.509436580109465
18235,58.72010416677222,4.0,0.994,0.6070466570466571,5.79,14.38,5,0,0,9,13,2,0,3,0,4,7,0.7124683230115408
9426,487.55831018509343,4.0,0.998,0.5635504201680673,13.68,17.79,2,0,3,0,13,1,2,0,0,2,1,0.7900177942745362
16776,1468.9892013887877,4.0,0.4404,0.15,10.27,1.29,2,0,0,0,0,0,0,0,0,0,1,0.5185139051544164
729,138.00177083350718,5.0,0.6808,0.7377777777777778,8.04,2.04,0,0,0,0,3,0,0,0,1,0,1,0.3618859113815321
20877,43.49156249966472,4.0,0.9708,0.602310606060606,7.15,9.15,12,0,1,6,8,1,1,0,0,0,5,0.6494125243260366
16456,342.13615740742534,4.0,0.6369,0.8500000000000001,7.4,3.26,4,0,0,2,3,0,0,0,0,2,1,0.3829996596633586
14655,153.1496875002049,3.0,0.959,0.5116666666666667,7.41,4.73,4,1,1,3,7,0,0,0,2,1,1,0.49615900933207435
28558,551.5270601850934,3.0,0.9884,0.4816587301587301,9.22,15.19,6,0,0,0,12,3,3,0,5,4,5,0.6530370789793619
4609,350.7146643521264,4.0,0.7089,0.4071859513035983,11.43,6.86,8,0,0,0,4,0,0,0,0,1,3,0.587533459881533
26217,338.3747800923884,4.0,0.6597,0.4579365079365079,7.58,2.73,3,0,0,0,3,1,0,0,0,0,1,0.4886737782758683
26364,297.743298611138,4.0,0.9217,0.6259259259259259,7.26,3.5,2,0,1,2,2,1,0,1,0,0,1,0.4696579117410352
4147,213.66590277804065,2.0,0.3339,0.575,7.6,4.94,3,0,0,3,1,1,0,0,1,0,1,0.4658270145051328
13457,883.1315046297386,4.0,0.7696,0.4928571428571428,7.33,3.6,3,0,0,0,2,2,0,0,0,1,0,0.5064788530724188
25640,540.207881944254,4.0,0.9062,0.5460317460317461,6.52,2.94,4,0,1,0,2,0,2,1,0,1,2,0.4449440788003508
15479,50.73666666634381,5.0,0.9429,0.4777777777777777,10.84,4.29,3,1,0,0,2,1,1,0,1,1,1,0.42309931043802484
10831,130.12488425895572,3.0,0.6808,0.455952380952381,9.44,4.6,3,3,0,1,2,1,2,0,1,1,0,0.410748580536315
17639,-3096.67592592584,1.0,-0.4767,0.2853846153846154,7.49,2.03,0,0,0,0,0,0,0,1,0,0,2,0.355029952803924
15588,239.8991087963805,4.0,0.5106,0.5363095238095238,6.78,4.32,3,0,1,0,2,1,0,0,0,0,3,0.5171652149688815
25860,537.5284143518656,4.0,0.9816,0.625,5.19,2.94,3,0,2,0,5,1,0,0,0,0,0,0.5280730826843302
5184,-2270.0455439812504,2.0,-0.1027,0.525,15.14,2.04,2,0,0,0,0,0,0,0,0,0,0,0.31912849640141444
8465,149.49310185201466,5.0,0.9552,0.5825974025974026,4.08,3.89,4,0,2,1,6,0,0,0,0,0,0,0.5411027838582176
11607,195.0404513888061,5.0,0.7214,0.5311111111111112,8.49,5.63,7,0,0,3,2,1,0,2,0,0,2,0.5347289315002863
24174,305.0713194445707,4.0,0.9855,0.6099362041467306,6.26,10.9,10,0,1,1,10,2,0,4,3,0,5,0.7105284107067137
29822,112.99637731490655,3.0,-0.5994,0.4458333333333333,11.94,6.4,6,0,0,1,2,0,0,0,0,0,2,0.5540303987497057
22123,457.0253472221084,4.0,0.9398,0.5927830940988836,8.79,12.97,8,2,1,0,8,3,0,2,0,0,3,0.7517713358931156
23501,108.94949074089529,5.0,0.8442,0.5791666666666666,5.26,1.76,2,0,0,0,2,0,1,0,0,0,1,0.39312273766947764
28102,358.7537731481716,2.0,-0.363,0.4333333333333333,5.0,2.44,0,1,0,0,2,0,0,0,0,1,0,0.4528974402340665
23987,57.99150462960824,2.0,0.8527,0.5746989600437877,8.65,18.01,18,0,0,6,6,2,3,0,0,5,1,0.722213140869608
9340,-1620.9877777779477,4.0,0.8316,0.506764705882353,6.49,6.58,4,0,0,3,5,1,0,2,0,0,1,0.5045165785645741
14948,571.8703124998137,5.0,0.9781,0.4698412698412698,10.34,11.15,5,0,2,2,7,2,3,1,0,4,1,0.6311419461710633
16097,283.8293750002049,1.0,0.9793,0.4562222222222222,7.11,29.06,28,2,2,7,12,0,5,5,2,4,7,0.9125240897388486
17682,-2563.442395833321,3.0,0.9677,0.7283730158730158,6.45,10.24,4,0,0,4,10,1,1,1,2,2,8,0.458230777483384
29224,30.41986111132428,5.0,0.9882,0.5200000000000001,7.56,5.92,3,1,1,0,4,0,0,0,0,1,3,0.5211756402523633
1488,115.1221412033774,1.0,-0.8883,0.7518518518518519,28.22,4.17,2,1,0,1,2,1,0,1,0,0,2,0.39923754751841206
18480,220.63864583335817,4.0,0.0,0.4355555555555555,6.68,1.5,1,0,0,1,0,0,0,1,0,0,2,0.4264947638021668
8962,318.2842245367356,4.0,0.7717,0.6833333333333332,8.56,1.92,2,0,0,0,2,0,0,0,0,1,2,0.3861741846919399
1068,365.0663773147389,5.0,0.9892,0.6679166666666667,6.3,8.26,8,0,0,1,6,0,0,1,0,3,1,0.5617912111590309
19721,72.38583333324641,5.0,0.7783,0.35,9.6,6.52,6,0,0,0,3,1,2,0,1,2,0,0.4996484026946719
19713,-583.6002662037499,4.0,0.9936,0.482936507936508,7.24,9.8,6,0,0,2,7,1,0,1,0,2,1,0.6097777718489927
21087,190.97865740722045,4.0,0.802,0.5916040100250627,10.67,8.09,10,0,1,1,8,0,0,1,1,0,9,0.6380460175641348
19320,264.47787037026137,5.0,0.8807,0.303125,8.59,8.7,12,2,0,4,2,1,0,1,0,2,3,0.6215498633516995
16326,251.5784722226672,1.0,0.4215,0.637962962962963,6.12,2.88,4,0,0,0,1,0,0,0,1,1,2,0.4164834086972361
28913,-2173.152453703806,4.0,0.6705,0.4419642857142856,4.53,5.71,7,1,0,1,2,0,0,3,0,2,2,0.4481201903146422
6447,225.2464930554852,3.0,0.8658,0.5872113997113998,7.15,12.37,14,0,3,4,6,0,2,3,2,1,1,0.6989661675054479
8435,-2454.94368055556,5.0,0.8519,0.675,5.66,1.1,2,0,1,1,1,0,0,0,0,0,0,0.2979291606375934
3768,1066.3318749996834,5.0,0.5574,0.6083333333333334,6.84,1.23,1,0,0,0,2,0,0,0,0,0,0,0.4233447093850126
8154,803.6062615741976,4.0,0.7783,0.5321428571428571,9.44,3.01,2,0,0,0,2,0,0,0,2,1,2,0.41839271077535034
24243,295.266736111138,5.0,0.9348,0.5392857142857144,6.49,10.68,8,0,2,4,5,2,0,2,0,2,2,0.6856521176009469
20102,103.46978009259328,1.0,0.8067,0.5568560271146477,5.86,41.04,29,0,0,24,6,2,7,1,6,11,7,0.8603284884652853
2886,10.014305555727333,5.0,0.9118,0.5388888888888889,4.65,2.57,1,0,0,0,4,0,0,0,0,0,1,0.44479232077985187
3851,84.66387731488794,2.0,0.0772,0.6016666666666667,9.8,1.82,1,0,0,0,1,1,1,1,0,0,1,0.39515741666584203
25748,308.0288541666232,4.0,0.9767,0.5227272727272727,12.13,8.81,2,0,1,1,7,0,1,0,0,2,3,0.571150904296381
3768,1066.3318749996834,5.0,0.5574,0.6083333333333334,6.84,1.23,1,0,0,0,2,0,0,0,0,0,0,0.4233447093850126
23610,82.09684027777985,3.0,0.1516,0.6354166666666666,9.06,4.57,2,0,1,4,1,0,2,0,1,1,1,0.3852520651850195
17510,383.5830208333209,5.0,0.9499,0.3789423076923076,10.81,12.56,7,2,1,3,9,1,0,3,0,1,4,0.7429551411963164
27053,168.0814583329484,1.0,0.4716,0.6081105169340463,7.73,11.49,10,0,0,0,10,0,2,3,4,1,3,0.6246301453861965
1459,10.99947916669771,2.0,0.4804,0.65,4.14,1.72,0,1,0,0,1,0,0,0,2,0,0,0.34863345325652656
15663,-2294.652557870373,5.0,0.0258,0.625,5.26,1.85,1,1,0,1,0,0,0,0,1,1,1,0.27067894486254385
13644,44.823680555447936,5.0,0.9612,0.5491666666666667,5.71,4.8,1,0,1,0,5,0,3,0,0,0,4,0.4582283174626998
20924,238.97230324056,5.0,0.993,0.4522959183673469,9.13,16.19,15,0,3,3,6,4,0,0,0,4,3,0.8160593187725201
614,44.87631944427267,1.0,-0.5709,0.5910818713450293,8.4,10.72,12,0,0,3,2,0,0,1,0,3,4,0.6180620753159533
16160,491.68790509272367,4.0,0.9317,0.543939393939394,7.83,3.55,3,0,0,0,5,1,0,1,0,0,2,0.5145770493962823
10534,883.8984375,5.0,-0.7939,0.6460714285714285,6.27,14.78,13,0,3,1,5,3,1,3,0,0,3,0.8200504973351852
13652,521.4096064814366,4.0,0.6705,0.6285714285714287,4.71,4.29,2,0,0,1,0,0,1,1,0,0,4,0.44039767908688754
28488,357.9479166669771,4.0,0.9934,0.6370000000000001,9.02,12.53,1,0,0,0,8,0,0,0,1,2,1,0.6153333468113868
17061,215.04403935186565,1.0,0.9245,0.4618055555555556,10.27,15.92,11,2,0,3,5,1,2,0,2,2,0,0.6748847440626503
30027,177.41800925927237,3.0,0.856,0.6140495867768595,5.73,7.79,1,2,0,0,6,1,0,1,0,1,0,0.5480403115424232
12750,332.69932870334014,4.0,0.9396,0.4987394957983195,8.53,8.34,10,0,0,1,7,2,0,1,0,0,3,0.6713582241546447
23553,78.11770833376795,3.0,0.9812,0.4921875,6.96,9.55,4,2,2,0,2,0,1,1,1,1,0,0.5752956806450096
21301,19.809178240597248,5.0,0.9841,0.5569246031746033,8.14,10.42,13,0,1,4,13,0,0,0,5,1,0,0.6395728937888628
30208,287.12481481488794,5.0,0.9628,0.563973063973064,8.13,5.69,2,0,0,0,5,0,1,0,1,5,0,0.4141439326091207
27080,326.14975694427267,4.0,0.7351,0.7,12.44,1.41,1,1,0,0,1,0,0,0,0,0,2,0.35560860795131666
6090,137.99215277750045,3.0,0.9746,0.4028269569936236,8.42,35.23,37,6,3,9,15,3,0,3,6,4,10,0.9634218588734093
17420,-2417.227152777836,5.0,0.8689,0.7000000000000001,5.7,2.44,1,0,1,0,2,1,0,0,2,0,0,0.30145929373961555
11397,417.8262499999255,5.0,0.9836,0.4702380952380951,7.22,10.28,7,0,0,0,11,1,1,3,0,1,2,0.7023107579108093
16411,620.8424768522382,3.0,0.6998,0.56875,8.9,4.42,3,0,1,1,4,0,0,1,0,0,0,0.5299322541609172
13615,226.0155092589557,5.0,0.9886,0.4401960784313725,6.47,9.99,14,0,0,3,8,2,1,0,1,2,1,0.6682799417541192
5816,858.7781481482089,5.0,0.9945,0.4565328025149454,9.1,18.48,17,1,1,0,12,4,1,3,0,2,3,0.8779510854717438
20923,-2572.03254629625,1.0,0.1372,0.5108333333333334,6.22,4.14,5,0,0,0,1,0,1,0,0,0,4,0.38210758165362707
8228,767.6965972222388,3.0,0.891,0.5037037037037038,6.67,7.14,7,0,0,1,3,0,1,0,0,0,3,0.5782542066092358
15676,-852.6794328703545,4.0,0.9935,0.628392857142857,10.76,26.81,9,3,2,4,11,3,6,12,2,0,6,0.8449802881416505
7603,30.88538194447756,3.0,0.6697,0.6,9.15,1.04,1,0,1,0,3,0,0,0,0,0,0,0.41172508032493704
16964,259.77097222255543,5.0,0.9062,0.7333333333333334,9.84,2.06,2,0,0,0,2,1,0,0,0,0,2,0.391348538434251
10050,67.66100694425404,4.0,0.9022,0.84,8.67,1.23,0,0,0,2,1,0,0,0,1,0,1,0.30358142943113986
17233,51.54315972235054,1.0,0.0772,0.52,6.52,3.2,3,0,0,5,2,0,1,1,0,0,0,0.43935137603622626
25710,82.44170138891786,4.0,0.7096,0.5792207792207792,9.65,5.32,4,0,0,0,2,0,1,0,3,0,5,0.417385126358559
14724,24.15299768513069,5.0,0.871,0.79,6.46,2.73,3,0,0,0,3,0,2,0,0,0,0,0.3588242708035672
6320,24.56939814798534,3.0,0.9694,0.5250572956455309,7.64,6.23,2,1,0,0,5,0,1,0,2,1,1,0.4583409716449974
17588,227.37481481442228,3.0,0.6124,0.5694444444444444,6.95,3.63,4,0,0,2,2,0,0,0,0,1,0,0.4498331102062493
16964,259.77097222255543,5.0,0.9062,0.7333333333333334,9.84,2.06,2,0,0,0,2,1,0,0,0,0,2,0.391348538434251
28346,143.19157407432797,4.0,0.9516,0.515,16.62,2.84,1,0,0,0,3,0,0,0,0,2,0,0.39675221859269716
30094,55.01263888925314,1.0,0.4215,0.6347619047619049,4.92,2.28,1,0,0,0,1,1,0,1,1,0,0,0.410061346475113
17347,217.99280092585832,4.0,0.9559,0.6525925925925926,7.58,8.33,1,0,2,0,5,0,0,0,0,1,6,0.5795864265131531
5655,-3102.982523147948,3.0,-0.367,0.566468253968254,8.96,5.76,3,0,0,0,3,4,2,0,1,1,4,0.3699827629893096
30172,-2494.441562499851,5.0,0.9996,0.4431468675003158,13.64,56.29,22,0,0,0,4,0,3,2,3,5,3,0.9696945027851239
8676,-2569.6479976852424,1.0,-0.8625,0.4557142857142857,10.52,11.44,5,1,0,4,0,1,0,2,1,1,5,0.5122783519121382
510,15.660590277984738,2.0,0.7783,0.625,3.2,1.6,1,0,0,0,1,0,0,0,0,0,0,0.39705522414503297
21517,59.37883101869375,4.0,0.8074,0.6217687074829932,4.15,2.91,3,0,0,0,5,0,0,0,1,1,3,0.43466105986101733
11828,369.0371759259142,4.0,0.8402,0.9266666666666664,7.7,3.64,0,0,1,0,1,4,0,0,0,0,2,0.42598635577524807
9728,61.10783564811573,5.0,0.9666,0.6857142857142858,2.96,2.19,1,0,1,3,5,1,0,0,1,0,0,0.4231439690894227
15959,631.578125,2.0,0.25,0.3666666666666667,6.7,5.55,3,0,0,1,0,0,1,1,0,0,0,0.5311786940696928
25613,30.26498842611909,3.0,0.6908,0.8201058201058201,4.14,1.66,1,0,0,0,2,0,0,0,0,0,1,0.3651660613880115
17871,-1219.6166203701869,5.0,0.9022,0.4096825396825396,9.84,15.84,11,0,0,1,5,1,0,1,0,1,5,0.7270970468110639
16335,600.4281134260818,2.0,0.719,0.548888888888889,9.49,11.34,6,2,1,0,3,1,1,4,1,1,10,0.6513422094009582
17472,328.5015046298504,5.0,0.836,0.35,6.34,1.56,1,0,1,0,0,1,0,0,0,0,0,0.46619789017765656
15652,896.2754398146644,5.0,0.8176,0.3199999999999999,4.8,1.35,4,0,1,0,1,0,1,0,0,1,1,0.47949995913521115
17643,1360.3311574077234,3.0,0.836,0.6233333333333333,8.53,5.85,4,1,0,0,4,1,0,0,0,1,2,0.5500052869860624
28499,119.0464930557646,2.0,0.743,0.25,5.26,2.89,5,0,0,1,2,0,1,0,0,0,1,0.5081209473615064
6968,37.16457175882533,1.0,0.8784,0.5551169590643278,9.76,15.6,10,0,0,4,4,0,1,2,0,1,3,0.7068554952581689
17027,481.628460648004,1.0,0.714,0.5953703703703703,11.58,4.99,1,0,0,0,0,0,0,0,1,0,1,0.4427260001100472
14211,66.2661226852797,3.0,0.4917,0.6272727272727272,7.55,6.33,4,0,1,0,6,0,2,0,0,0,0,0.5227222264783368
25668,641.1517013888806,4.0,0.4737,0.535,5.91,2.17,2,0,0,0,2,0,0,0,0,1,1,0.4411449419591662
9691,32.12138888891786,1.0,-0.7346,0.3190476190476191,7.54,4.5,2,1,0,0,0,0,2,0,1,1,1,0.44291025765121766
1440,151.40543981455266,3.0,0.3867,0.576388888888889,7.72,5.49,8,0,0,0,0,0,0,1,0,5,1,0.4507409689937331
28750,61.38410879625008,4.0,0.9905,0.5409523809523809,11.52,11.74,1,0,0,1,8,1,1,2,0,1,1,0.629705952826493
529,194.39749999996275,1.0,0.4019,0.8071428571428572,5.84,6.26,0,1,0,0,3,1,0,0,2,3,2,0.40004515991536055
57,300.48431712947786,5.0,0.9537,0.6266666666666667,5.7,2.28,1,0,1,0,2,0,0,0,2,0,0,0.396577514426612
26743,104.15557870361954,4.0,0.9514,0.6031196581196581,5.59,9.58,8,0,0,2,7,2,1,0,1,2,4,0.5947849217287671
9508,802.1639236109331,1.0,0.802,0.3,6.95,6.26,7,0,0,0,5,1,1,0,1,1,1,0.6099816003997564
9078,31.75700231501833,1.0,-0.7845,0.5119047619047619,6.42,3.14,1,0,0,1,1,2,0,0,1,0,0,0.4582743232355791
27177,343.75068287039176,4.0,0.9682,0.5938095238095238,7.91,5.35,2,0,0,2,3,1,0,0,1,1,1,0.4641236992557096
16651,342.4551388891414,3.0,0.7989,0.4970332577475434,6.59,15.51,13,0,1,0,6,0,1,1,0,1,5,0.7776625084991184
